,c_a,unit,scp,station,line_name,division,date,time,description,entries,exits
0,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,00:00:00,REGULAR,7621953,2607461
1,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,04:00:00,REGULAR,7621962,2607463
2,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,08:00:00,REGULAR,7621971,2607505
3,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,12:00:00,REGULAR,7622037,2607607
4,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,16:00:00,REGULAR,7622194,2607644
5,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,20:00:00,REGULAR,7622455,2607671
6,A002,R051,02-00-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,00:00:00,REGULAR,6743033,1539333
7,A002,R051,02-00-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,04:00:00,REGULAR,6743041,1539337
8,A002,R051,02-00-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,08:00:00,REGULAR,6743050,1539374
9,A002,R051,02-00-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,12:00:00,REGULAR,6743079,1539440
10,A002,R051,02-00-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,16:00:00,REGULAR,6743202,1539468
11,A002,R051,02-00-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,20:00:00,REGULAR,6743379,1539489
12,A002,R051,02-03-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,00:00:00,REGULAR,1448487,5474346
13,A002,R051,02-03-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,04:00:00,REGULAR,1448490,5474351
14,A002,R051,02-03-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,08:00:00,REGULAR,1448493,5474500
15,A002,R051,02-03-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,12:00:00,REGULAR,1448511,5474809
16,A002,R051,02-03-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,16:00:00,REGULAR,1448568,5474991
17,A002,R051,02-03-00,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,20:00:00,REGULAR,1448676,5475192
18,A002,R051,02-03-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,00:00:00,REGULAR,1638424,2563048
19,A002,R051,02-03-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,04:00:00,REGULAR,1638433,2563056
20,A002,R051,02-03-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,08:00:00,REGULAR,1638446,2563224
21,A002,R051,02-03-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,12:00:00,REGULAR,1638500,2563553
22,A002,R051,02-03-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,16:00:00,REGULAR,1638658,2563767
23,A002,R051,02-03-01,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,20:00:00,REGULAR,1638895,2563927
24,A002,R051,02-03-02,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,00:00:00,REGULAR,61954,86380
25,A002,R051,02-03-02,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,04:00:00,REGULAR,61962,86391
26,A002,R051,02-03-02,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,08:00:00,REGULAR,61971,86539
27,A002,R051,02-03-02,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,12:00:00,REGULAR,62021,86746
28,A002,R051,02-03-02,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,16:00:00,REGULAR,62162,86847
29,A002,R051,02-03-02,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,20:00:00,REGULAR,62362,86951
30,A002,R051,02-03-03,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,00:00:00,REGULAR,6181102,7044019
31,A002,R051,02-03-03,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,04:00:00,REGULAR,6181112,7044022
32,A002,R051,02-03-03,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,08:00:00,REGULAR,6181122,7044160
33,A002,R051,02-03-03,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,12:00:00,REGULAR,6181158,7044342
34,A002,R051,02-03-03,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,16:00:00,REGULAR,6181268,7044407
35,A002,R051,02-03-03,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,20:00:00,REGULAR,6181446,7044455
36,A002,R051,02-03-04,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,00:00:00,REGULAR,7607643,3934205
37,A002,R051,02-03-04,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,04:00:00,REGULAR,7607653,3934207
38,A002,R051,02-03-04,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,08:00:00,REGULAR,7607669,3934314
39,A002,R051,02-03-04,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,12:00:00,REGULAR,7607712,3934418
40,A002,R051,02-03-04,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,16:00:00,REGULAR,7607807,3934446
41,A002,R051,02-03-04,59 ST,NQR456W,BMT,2021-08-20T00:00:00.000,20:00:00,REGULAR,7607992,3934470
