,c_a,unit,scp,station,line_name,division,date,time,description,entries,exits
0,A033,R170,02-00-04,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,6483080,4945335
1,A033,R170,02-00-02,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,14983900,14554087
2,A033,R170,02-06-00,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,769115,559221
3,A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,271981,828662
4,A033,R170,02-00-05,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,17538854,7031168
5,A033,R170,02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,2430093,2921770
6,A033,R170,02-06-01,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,71047673,20925389
7,A033,R170,02-00-03,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,7191422,8417203
8,A034,R170,03-05-03,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,226289,172333
9,A034,R170,03-00-02,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,4632187,3269462
10,A034,R170,03-05-00,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,187295,129140
11,A034,R170,03-03-00,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,69926,219187
12,A034,R170,03-00-01,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1007426,2330092
13,A034,R170,03-05-02,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,198226,260680
14,A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,2167998,16966778
15,A034,R170,03-05-01,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,169531,203256
16,A034,R170,03-03-02,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,13154638,1446679
17,A034,R170,03-03-01,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,6553678,3942370
18,A035,R170,00-00-02,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,993554,2432341
19,A035,R170,00-00-01,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,77274,296210
20,A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,197078,483638
21,A035,R170,00-00-03,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,4468358,3753186
22,A035,R170,00-00-04,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,3119391,554073
23,A037,R170,05-00-02,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,7675415,2080202
24,A037,R170,05-00-03,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,26105043,4246737
25,A037,R170,05-00-01,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,5776862,2675449
26,A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,741478,443883
27,A043,R462,00-06-02,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,7364334,7262943
28,A043,R462,00-03-01,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,5206780,1773047
29,A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,371546427,456332367
30,A043,R462,00-06-00,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,864776,223580
31,A043,R462,00-03-04,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,8814513,8728512
32,A043,R462,00-03-03,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,131656,101394
33,A043,R462,00-03-02,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,4260675,1874658
34,A043,R462,00-00-02,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,14197340,13545097
35,A043,R462,00-03-00,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,5524221,3905916
36,A043,R462,00-06-01,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,4003181,1832227
37,A043,R462,00-00-01,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,355560437,440824641
38,A046,R463,00-05-01,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,0,1181
39,A046,R463,00-06-05,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,688710,226620
40,A046,R463,00-05-00,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,4043,0
41,A046,R463,00-05-03,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,0,534
42,A046,R463,00-03-00,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,9425687,7627467
43,A046,R463,00-00-00,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,4209590,412701
44,A046,R463,00-05-02,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,953,0
45,A046,R463,00-06-06,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,102707977,22612806
46,A046,R463,00-06-03,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,51057158,5846824
47,A046,R463,00-03-01,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,13021889,14131336
48,A046,R463,00-06-04,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,4359297,9044692
49,A046,R463,00-00-03,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,414472,35176
50,A046,R463,00-06-00,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1144190,111058
51,A046,R463,00-00-02,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,9656684,525530
52,A046,R463,00-06-07,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,4893464,13413424
53,A046,R463,00-06-01,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1084712,48770
54,A046,R463,00-06-08,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1664277,10497374
55,A046,R463,00-00-01,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,8934447,516220
56,A046,R463,00-06-02,CANAL ST,JNQRZ6W,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1192798,177517
57,A049,R088,02-00-02,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,927012,586137
58,A049,R088,02-03-02,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1216418,424640
59,A049,R088,02-03-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1177351,291871
60,A049,R088,02-01-00,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,968518,1534644
61,A049,R088,02-05-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,638058496,5177705
62,A049,R088,02-01-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,228966,325512
63,A049,R088,02-00-03,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,872497921,871641957
64,A049,R088,02-05-00,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1058665927,22872086
65,A049,R088,02-01-02,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1661557,1808495
66,A049,R088,02-03-00,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1691829,271116
67,A049,R088,02-03-03,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1331423,732973
68,A049,R088,02-00-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,945693,819139
69,A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,856163,1233139
70,A050,R088,00-03-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,10753056,2193897
71,A050,R088,00-03-02,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,6756576,2007563
72,A050,R088,00-03-03,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1635810,1013566
73,A050,R088,00-05-02,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,1624857,1782481
74,A050,R088,00-05-03,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,589034,85736
75,A050,R088,00-03-00,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,192198,75927
76,A050,R088,00-05-00,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,589189,733151
77,A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,3949598,5622525
78,A050,R088,00-02-00,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,3743054,1811326
79,A050,R088,00-02-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,683598,156305
80,A050,R088,00-05-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,530099,428748
81,A050,R088,00-00-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,4039363,4218470
82,A052,R088,01-03-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,260096,698372
83,A052,R088,01-05-00,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,599,0
84,A052,R088,01-00-02,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,113096,90750
85,A052,R088,01-00-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,139134,102621
86,A052,R088,01-00-03,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,103312,128378
87,A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,184772,191173
88,A052,R088,01-05-01,CORTLANDT ST,RNW,BMT,2019-12-27T00:00:00.000,00:00:00,REGULAR,0,386
