,c_a,unit,scp,station,line_name,division,date,time,description,entries,exits
0,A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,2056268,5177036
1,A033,R170,02-00-03,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,6069026,7074661
2,A033,R170,02-06-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,694109,207786
3,A033,R170,02-00-04,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,4927946,3748371
4,A033,R170,02-00-03,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,6069026,7074661
5,A033,R170,02-00-04,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,4927946,3748371
6,A033,R170,02-06-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,694109,207786
7,A033,R170,02-00-05,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,15598097,6250334
8,A033,R170,02-00-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,14197229,13704110
9,A033,R170,02-00-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,14197229,13704110
10,A033,R170,02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,1806541,2182381
11,A033,R170,02-06-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,70294362,20274025
12,A033,R170,02-06-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,70294362,20274025
13,A033,R170,02-00-05,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,15598097,6250334
14,A033,R170,02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,1806541,2182381
15,A033,R170,02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,2056268,5177036
16,A034,R170,03-03-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,3298435,8319358
17,A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,1923632,14843362
18,A034,R170,03-03-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,5569358,3334854
19,A034,R170,03-06-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,202795687,85357013
20,A034,R170,03-06-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,68007701,17207000
21,A034,R170,03-06-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,68007701,17207000
22,A034,R170,03-03-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,11499477,1255112
23,A034,R170,03-00-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,3687618,2644410
24,A034,R170,03-03-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,3298435,8319358
25,A034,R170,03-06-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,202795687,85357013
26,A034,R170,03-03-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,5569358,3334854
27,A034,R170,03-03-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,11499477,1255112
28,A034,R170,03-06-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,3965537,2697302
29,A034,R170,03-00-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,1923632,14843362
30,A034,R170,03-06-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,3965537,2697302
31,A034,R170,03-00-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,499334,1229391
32,A034,R170,03-00-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,499334,1229391
33,A034,R170,03-00-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,3687618,2644410
34,A035,R170,00-00-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,585493,1397287
35,A035,R170,00-00-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,161699,590441
36,A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,104776,232039
37,A035,R170,00-00-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,104776,232039
38,A035,R170,00-00-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,585493,1397287
39,A035,R170,00-00-04,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,1758328,321665
40,A035,R170,00-00-03,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,3712006,3103429
41,A035,R170,00-00-04,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,1758328,321665
42,A035,R170,00-00-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,161699,590441
43,A035,R170,00-00-03,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,3712006,3103429
44,A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,2456950,1224439
45,A037,R170,05-00-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,6365570,1705149
46,A037,R170,05-00-03,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,24873971,4114088
47,A037,R170,05-00-01,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,4510332,2043597
48,A037,R170,05-00-03,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,24873971,4114088
49,A037,R170,05-00-02,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,6365570,1705149
50,A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,2018-12-28T00:00:00.000,00:00:00,REGULAR,2456950,1224439
