"","created_at","id","id_str","full_text","truncated","display_text_range","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","possibly_sensitive","lang","quoted_status_id","quoted_status_id_str","text","favorited_by","scopes","display_text_width","retweeted_status","quoted_status_permalink","quote_count","timestamp_ms","reply_count","filter_level","query","withheld_scope","withheld_copyright","withheld_in_countries","possibly_sensitive_appealable"
"2753",2022-10-06 20:43:00,1578184081317269504,"1578184081317269506","Governor Hochul Announces Start of Two-Way Event Day Service at LIRR Elmont-UBS Arena Station - https://t.co/IyDDVW7o5J #NewYork #Transit #NYC #MTA https://t.co/4KWmtXRk65",FALSE,171,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en",NA,NA,"Governor Hochul Announces Start of Two-Way Event Day Service at LIRR Elmont-UBS Arena Station - https://t.co/IyDDVW7o5J #NewYork #Transit #NYC #MTA https://t.co/4KWmtXRk65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754",2022-10-06 20:40:34,1578183469192343552,"1578183469192343552","@MTA @NYCTSubway for @NY_Comic_Con weekend (Oct 8-9), can you please add as much #7train service as possible &amp; make it run the entire line between @_HudsonYardsNYC/@javitscenter &amp; Flushing?",FALSE,197,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,94129050,"94129050","MTA",NA,FALSE,0,0,FALSE,FALSE,NA,"en",NA,NA,"@MTA @NYCTSubway for @NY_Comic_Con weekend (Oct 8-9), can you please add as much #7train service as possible &amp; make it run the entire line between @_HudsonYardsNYC/@javitscenter &amp; Flushing?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2755",2022-10-06 20:39:46,1578183265889882112,"1578183265889882114","How do you irritate all the MTA futures traders in one comment<U+0001F605> https://t.co/sIsifl79D1",FALSE,63,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,NA,FALSE,0,2,FALSE,FALSE,FALSE,"en",NA,NA,"How do you irritate all the MTA futures traders in one comment<U+0001F605> https://t.co/sIsifl79D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2756",2022-10-06 20:39:25,1.578183178728e+18,"1578183178728001536","@StreetsblogNYC @NYSComptroller @MTA What’s new? Every year is the same. Most transit systems in the world fail to make a profit. But the MTA is special. Their finances are always in trouble because they are corrupt and blame low ridership instead of incompetence.",FALSE,264,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1577999864931225600,"1577999864931225600",128750686,"128750686","StreetsblogNYC",NA,FALSE,0,1,FALSE,FALSE,NA,"en",NA,NA,"@StreetsblogNYC @NYSComptroller @MTA What’s new? Every year is the same. Most transit systems in the world fail to make a profit. But the MTA is special. Their finances are always in trouble because they are corrupt and blame low ridership instead of incompetence.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2757",2022-10-06 20:39:15,1578183135149248512,"1578183135149248513","GSOC:  Julianna Allen’s rocket from just outside the 18 trickles in to make it 5-0, MTA…9:30 to play.
@ShipbuildersAD",FALSE,117,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,NA,"en",NA,NA,"GSOC:  Julianna Allen’s rocket from just outside the 18 trickles in to make it 5-0, MTA…9:30 to play.
@ShipbuildersAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2758",2022-10-06 20:37:23,1578182667618914304,"1578182667618914304","@Louis_Onofrio @UBSArena @LIRR @NYIslanders @MTA @EmpireStateDev @LtGovDelgado Root for the Whalers instead",FALSE,107,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1578173507350892544,"1578173507350892544",275876168,"275876168","Louis_Onofrio",NA,FALSE,0,1,FALSE,FALSE,NA,"en",NA,NA,"@Louis_Onofrio @UBSArena @LIRR @NYIslanders @MTA @EmpireStateDev @LtGovDelgado Root for the Whalers instead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2759",2022-10-06 20:35:01,1578182071444553728,"1578182071444553730","#1train #2train and #3train are running local to express Local to Express #MTA https://t.co/jh4U3Ctg8s",FALSE,102,"<a href=""http://www.subwaystats.com"" rel=""nofollow"">SubwayStats</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en",NA,NA,"#1train #2train and #3train are running local to express Local to Express #MTA https://t.co/jh4U3Ctg8s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2760",2022-10-06 20:33:22,1578181656715792384,"1578181656715792384","GSOC:  Tarynn Keleher chips one in for the Eagles to make it 4-0…16 minutes to play.
@ShipbuildersAD",FALSE,100,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,NA,"en",NA,NA,"GSOC:  Tarynn Keleher chips one in for the Eagles to make it 4-0…16 minutes to play.
@ShipbuildersAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2761",2022-10-06 20:31:25,1578181162748420096,"1578181162748420099","BSOC:  Lexi Dupre with a nice tip with her head over the outstretched hands of the Morse goalie…3-0 Eagles.
@ShipbuildersAD",FALSE,123,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,NA,"en",NA,NA,"BSOC:  Lexi Dupre with a nice tip with her head over the outstretched hands of the Morse goalie…3-0 Eagles.
@ShipbuildersAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2762",2022-10-06 20:31:05,1578181079298555904,"1578181079298555904","Obvious marketing ploy by the MTA to finally get us to stop leaning on the doors https://t.co/cvyuYIaZ50",FALSE,80,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,NA,TRUE,0,0,FALSE,FALSE,FALSE,"en",1578081206767300608,"1578081206767300608","Obvious marketing ploy by the MTA to finally get us to stop leaning on the doors https://t.co/cvyuYIaZ50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
