"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-01","0.00","0.0","0.0",,"39","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-02","0.00","0.0","0.0",,"42","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-03","0.71","0.0","0.0",,"42","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-04","0.30","0.0","0.0",,"56","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-05","0.00","0.0","0.0",,"49","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-06","0.05","1.0","0.0",,"22","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-07","0.00","0.0","1.2",,"23","9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-08","0.00","0.0","0.0",,"21","8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-09","0.07","1.5","0.0",,"33","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-10","0.00","0.0","1.2",,"23","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-11","0.00","0.0","1.2",,"37","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-12","0.36","0.0","0.0",,"39","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-13","0.00","0.0","0.0",,"36","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-14","0.00","0.0","0.0",,"32","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-15","0.00","0.0","0.0",,"35","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-16","0.00","0.0","0.0",,"43","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-17","0.00","0.0","0.0",,"32","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-18","2.10","0.0","0.0",,"42","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-19","0.00","0.0","0.0",,"42","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-20","0.00","0.0","0.0",,"40","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-21","0.00","0.0","0.0",,"36","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-22","0.00","0.0","0.0",,"40","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-23","0.00","0.0","0.0",,"39","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-24","0.72","3.6","3.1",,"39","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-25","0.00","0.0","2.0",,"42","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-26","0.48","5.5","2.0",,"31","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-27","0.36","4.3","7.9",,"30","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-28","0.00","0.0","7.9",,"34","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-29","0.02","0.0","5.9",,"36","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-30","0.06","1.0","7.1",,"38","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01-31","0.00","0.0","7.1",,"26","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-01","0.03","0.3","5.9",,"36","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-02","1.02","5.0","7.1",,"34","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-03","0.00","0.0","7.9",,"26","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-04","0.00","0.0","7.9",,"43","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-05","0.00","0.0","7.9",,"42","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-06","0.00","0.0","7.9",,"27","12"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-07","0.02","0.0","7.9",,"40","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-08","0.00","0.0","7.9",,"37","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-09","0.09","0.0","7.9",,"29","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-10","0.01","0.1","7.9",,"40","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-11","0.00","0.0","7.9",,"34","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-12","0.00","0.0","7.9",,"40","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-13","0.00","0.0","7.9",,"21","8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-14","0.02","0.9","7.9",,"32","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-15","0.00","0.0","9.1",,"25","4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-16","0.00","0.0","9.1",,"21","3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-17","0.14","3.3","11.8",,"27","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-18","0.00","0.0","9.1",,"33","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-19","0.00","0.0","9.1",,"27","8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-20","0.00","0.0","9.1",,"19","2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-21","0.61","3.0","9.1",,"32","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-22","0.10","1.0","13.0",,"43","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-23","0.00","0.0","11.8",,"38","8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-24","0.00","0.0","11.8",,"24","4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-25","0.00","0.0","11.8",,"37","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-26","0.00","0.0","11.0",,"32","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-27","0.00","0.0","11.0",,"30","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02-28","0.00","0.0","11.0",,"29","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-01","0.52","4.8","9.8",,"31","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-02","0.00","0.0","15.0",,"39","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-03","0.67","1.8","14.2",,"37","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-04","0.25","0.0","13.0",,"45","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-05","0.76","7.5","13.0",,"40","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-06","0.00","0.0","18.9",,"27","12"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-07","0.00","0.0","18.1",,"38","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-08","0.00","0.0","16.1",,"49","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-09","0.01","0.0","13.0",,"54","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-10","0.46","0.0","11.0",,"53","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-11","0.01","0.0","5.9",,"59","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-12","0.00","0.0","3.9",,"47","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-13","0.00","0.0","2.0",,"43","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-14","0.81","0.0","1.2",,"51","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-15","0.00","0.0","0.0",,"44","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-16","0.00","0.0","0.0",,"52","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-17","0.02","0.0","0.0",,"57","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-18","0.00","0.0","0.0",,"39","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-19","0.00","0.0","0.0",,"43","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-20","0.40","4.5","0.0",,"38","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-21","0.00","0.0","5.1",,"47","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-22","0.00","0.0","0.0",,"43","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-23","0.00","0.0","0.0",,"38","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-24","0.00","0.0","0.0",,"45","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-25","0.05","0.0","0.0",,"49","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-26","0.32","0.0","0.0",,"62","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-27","0.27","0.0","0.0",,"46","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-28","0.00","0.0","0.0",,"40","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-29","0.00","0.0","0.0",,"46","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-30","0.00","0.0","0.0",,"54","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-31","0.17","0.0","0.0",,"47","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-01","0.00","0.0","0.0",,"51","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-02","0.00","0.0","0.0",,"67","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-03","0.04","0.0","0.0",,"64","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-04","0.01","0.0","0.0",,"60","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-05","0.00","0.0","0.0",,"61","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-06","0.00","0.0","0.0",,"63","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-07","0.15","0.0","0.0",,"62","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04-08","0.00","0.0","0.0",,"45","37"
