,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,Northbound D/N/R trains are running with delays after we moved a train that had its brakes activated at 36 St. https://t.co/Q6PBBOBwLV,FALSE,4,NA,9/15/2022 0:11,FALSE,NA,1.5702E+18,NA,"<a href=""http://gms.mtanyct.info/GMSTwitter/Default.aspx"" rel=""nofollow"">MTA Subway Service Alerts</a>",NYCTSubway,1,FALSE,FALSE,NA,NA
2,Northbound D/N/R trains are delayed while we investigate why a train's brakes activated at 36 St.,FALSE,4,NA,9/15/2022 0:06,FALSE,NA,1.5702E+18,NA,"<a href=""http://gms.mtanyct.info/GMSTwitter/Default.aspx"" rel=""nofollow"">MTA Subway Service Alerts</a>",NYCTSubway,1,FALSE,FALSE,NA,NA
3,"Northbound 1 trains are running with delays after NYPD responded to passengers being disruptive at 86 St.

Northbou… https://t.co/Neal54CWJ4",FALSE,2,NA,9/14/2022 23:46,TRUE,NA,1.5702E+18,NA,"<a href=""http://gms.mtanyct.info/GMSTwitter/Default.aspx"" rel=""nofollow"">MTA Subway Service Alerts</a>",NYCTSubway,0,FALSE,FALSE,NA,NA
4,Southbound A trains are running with delays after we moved a train that had its brakes activated at 42 St-Port Auth… https://t.co/GVEp5fGplS,FALSE,0,NA,9/14/2022 23:43,TRUE,NA,1.5702E+18,NA,"<a href=""http://gms.mtanyct.info/GMSTwitter/Default.aspx"" rel=""nofollow"">MTA Subway Service Alerts</a>",NYCTSubway,0,FALSE,FALSE,NA,NA
5,"Northbound 1 trains are running on the express track from 72 St to 96 St.
If your stop is skipped, take a southboun… https://t.co/kGbMktFwIl",FALSE,1,NA,9/14/2022 23:39,TRUE,NA,1.5702E+18,NA,"<a href=""http://gms.mtanyct.info/GMSTwitter/Default.aspx"" rel=""nofollow"">MTA Subway Service Alerts</a>",NYCTSubway,0,FALSE,FALSE,NA,NA
6,"Northbound 6 trains are running with delays after we got medical help for someone at Parkchester.
Northbound 6X tra… https://t.co/QqpCzr6Qa4",FALSE,0,NA,9/14/2022 23:33,TRUE,NA,1.57019E+18,NA,"<a href=""http://gms.mtanyct.info/GMSTwitter/Default.aspx"" rel=""nofollow"">MTA Subway Service Alerts</a>",NYCTSubway,0,FALSE,FALSE,NA,NA
7,"Northbound 2/5 trains are running with delays after we removed a train car from service at Jackson Av.
Northbound t… https://t.co/yBul6OfJfz",FALSE,0,NA,9/14/2022 23:31,TRUE,NA,1.57019E+18,NA,"<a href=""http://gms.mtanyct.info/GMSTwitter/Default.aspx"" rel=""nofollow"">MTA Subway Service Alerts</a>",NYCTSubway,0,FALSE,FALSE,NA,NA
8,"Southbound A trains are running on the local track from 59 St-Columbus Circle to Canal St.

We are investigating th… https://t.co/voDZDNHrgq",FALSE,2,NA,9/14/2022 23:20,TRUE,NA,1.57019E+18,NA,"<a href=""http://gms.mtanyct.info/GMSTwitter/Default.aspx"" rel=""nofollow"">MTA Subway Service Alerts</a>",NYCTSubway,0,FALSE,FALSE,NA,NA
9,"Northbound 2/5 trains are running express from 3 Av-149 St to E 180 St.
If your stop is skipped, take a southbound… https://t.co/hDIOC8B1qs",FALSE,3,NA,9/14/2022 23:20,TRUE,NA,1.57019E+18,NA,"<a href=""http://gms.mtanyct.info/GMSTwitter/Default.aspx"" rel=""nofollow"">MTA Subway Service Alerts</a>",NYCTSubway,0,FALSE,FALSE,NA,NA
10,Northbound 6 express trains are running on the local track from Hunts Point Av to Parkchester while we get medical… https://t.co/4hr8QVzexV,FALSE,7,NA,9/14/2022 23:15,TRUE,NA,1.57019E+18,NA,"<a href=""http://gms.mtanyct.info/GMSTwitter/Default.aspx"" rel=""nofollow"">MTA Subway Service Alerts</a>",NYCTSubway,0,FALSE,FALSE,NA,NA
