month,car class,mdbf
2016-06,R142A,52171
2016-06,R143,61702
2016-06,R160,317875
2016-06,R188 - CONVERSION,155578
2016-06,R188 - NEW,472024
2016-06,R32,33028
2016-06,R42,34399
2016-06,R46,82666
2016-06,R62,187661
2016-06,R62A,88834
2016-06,R68,117467
2016-06,R68A,119045
2016-05,FLEET,122280
2016-05,R142,154637
2016-05,R142A,54081
2016-05,R143,61346
2016-05,R160,315794
2016-05,R188 - CONVERSION,142293
2016-05,R188 - NEW,179394
2016-05,R32,33996
2016-05,R42,37603
2016-05,R46,86062
2016-05,R62,195744
2016-05,R62A,92333
2016-05,R68,118007
2016-05,R68A,123228
2016-04,FLEET,123454
2016-04,R142,153221
2016-04,R142A,54134
2016-04,R143,63288
2016-04,R160,327425
2016-04,R188 - CONVERSION,126637
2016-04,R188 - NEW,352571
2016-04,R32,35666
2016-04,R42,40140
2016-04,R46,89305
2016-04,R62,190675
2016-04,R62A,91604
2016-04,R68,119902
2016-04,R68A,128828
2016-03,FLEET,125613
2016-03,R142,148053
2016-03,R142A,57545
2016-03,R143,62398
2016-03,R160,342377
2016-03,R188 - CONVERSION,120191
2016-03,R188 - NEW,315015
2016-03,R32,37761
2016-03,R42,39309
2016-03,R46,94882
2016-03,R62,182864
2016-03,R62A,93882
2016-03,R68,119846
2016-03,R68A,126551
2016-02,FLEET,128007
2016-02,R142,148354
2016-02,R142A,59156
2016-02,R143,65164
2016-02,R160,345586
2016-02,R188 - NEW,144751
2016-02,R32,38362
2016-02,R42,41027
2016-02,R46,101630
2016-02,R62,190050
2016-02,R62A,94755
2016-02,R68,122788
2016-02,R68A,123449
2016-01,FLEET,129056
2016-01,R142,150637
2016-01,R142A,59739
2016-01,R143,67420
2016-01,R160,360118
2016-01,R188 - NEW,137756
2016-01,R32,39134
2016-01,R42,34880
2016-01,R46,101040
2016-01,R62,184641
2016-01,R62A,94337
2016-01,R68,133897
2016-01,R68A,121808
2015-12,FLEET,131325
2015-12,R142,155577
2015-12,R142A,60216
2015-12,R143,66835
2015-12,R160,365267
2015-12,R188 - NEW,139087
2015-12,R32,40704
2015-12,R42,39934
2015-12,R46,102701
2015-12,R62,189960
2015-12,R62A,97719
2015-12,R68,129498
2015-12,R68A,124358
2015-11,FLEET,134916
2015-11,R142,154683
2015-11,R142A,64162
2015-11,R143,67467
2015-11,R160,373652
2015-11,R188 - NEW,128114
2015-11,R32,47382
2015-11,R42,43297
2015-11,R46,106747
2015-11,R62,199255
2015-11,R62A,97622
2015-11,R68,129936
2015-11,R68A,131382
2015-10,FLEET,135912
2015-10,R142,159664
2015-10,R142A,66142
2015-10,R143,66012
2015-10,R160,370543
2015-10,R188 - NEW,127038
2015-10,R32,48392
2015-10,R42,48774
2015-10,R46,109185
2015-10,R62,196021
2015-10,R62A,97423
2015-10,R68,130648
2015-10,R68A,118127
2015-09,FLEET,138495
2015-09,R142,161375
2015-09,R142A,68424
2015-09,R143,69332
2015-09,R160,378663
2015-09,R188 - NEW,129311
2015-09,R32,52418
2015-09,R42,55975
2015-09,R46,106217
2015-09,R62,191901
2015-09,R62A,102412
2015-09,R68,135299
2015-09,R68A,101104
2015-08,FLEET,141167
2015-08,R142,159357
2015-08,R142A,71525
2015-08,R143,72972
2015-08,R160,386678
2015-08,R188 - NEW,127232
2015-08,R32,54072
2015-08,R42,58420
2015-08,R46,106149
2015-08,R62,196480
2015-08,R62A,108329
2015-08,R68,136795
2015-08,R68A,101101
2015-07,FLEET,141719
2015-07,R142,157685
2015-07,R142A,76481
2015-07,R143,76204
2015-07,R160,381838
2015-07,R188 - NEW,120617
2015-07,R32,55402
2015-07,R42,54684
2015-07,R46,101263
2015-07,R62,202707
2015-07,R62A,112581
2015-07,R68,143243
2015-07,R68A,87259
2015-06,FLEET,143983
2015-06,R142,152238
2015-06,R142A,80985
2015-06,R143,83242
2015-06,R160,389131
2015-06,R188 - NEW,127949
2015-06,R32,55540
2015-06,R42,55699
2015-06,R46,100724
2015-06,R62,200700
2015-06,R62A,118541
2015-06,R68,145981
2015-06,R68A,85470
2015-05,FLEET,144395
2015-05,R142,154485
2015-05,R142A,82715
2015-05,R143,89140
2015-05,R160,397362
2015-05,R188 - NEW,143652
2015-05,R32,58101
2015-05,R42,53973
2015-05,R46,96435
2015-05,R62,184716
2015-05,R62A,115029
2015-05,R68,150795
2015-05,R68A,80590
2015-04,FLEET,142799
2015-04,R142,154921
2015-04,R142A,83409
2015-04,R143,91540
2015-04,R160,377858
2015-04,R188 - NEW,160144
2015-04,R32,59547
2015-04,R42,55119
2015-04,R46,91119
2015-04,R62,180525
2015-04,R62A,115613
2015-04,R68,151111
2015-04,R68A,78648
2015-03,FLEET,142179
2015-03,R142,159082
2015-03,R142A,81411
2015-03,R143,91156
2015-03,R160,373402
2015-03,R188 - CONVERSION,79858
2015-03,R188 - NEW,141537
2015-03,R32,57471
2015-03,R42,45067
2015-03,R46,88347
2015-03,R62,196546
2015-03,R62A,115034
2015-03,R68,149070
2015-03,R68A,81170
2015-02,FLEET,142422
2015-02,R142,151905
2015-02,R142A,79373
2015-02,R143,93211
2015-02,R160,375314
2015-02,R188 - NEW,144426
2015-02,R32,61192
2015-02,R42,42753
2015-02,R46,88877
2015-02,R62,201943
2015-02,R62A,117508
2015-02,R68,152624
2015-02,R68A,85175
2015-01,FLEET,143150
2015-01,R142,146801
2015-01,R142A,81594
2015-01,R143,87881
2015-01,R160,375347
2015-01,R188 - NEW,190156
2015-01,R32,59046
2015-01,R42,45981
2015-01,R46,90950
2015-01,R62,210332
2015-01,R62A,120874
2015-01,R68,153013
2015-01,R68A,86097
