month,car class,mdbf
2021-05,R142,258648
2021-05,R142A,133006
2021-05,R143,168956
2021-05,R160,326603
2021-05,R179,119170
2021-05,R188 - CONVERSION,259042
2021-05,R188 - NEW,288442
2021-05,R42,0
2021-05,R46,60398
2021-05,R62,237856
2021-05,R62A,165860
2021-05,R68,109860
2021-05,R68A,68002
2021-04,A DIVISION,210673
2021-04,B DIVISION,125948
2021-04,FLEET,151662
2021-04,R142,270994
2021-04,R142A,133387
2021-04,R143,165204
2021-04,R160,326548
2021-04,R179,117002
2021-04,R188 - CONVERSION,289801
2021-04,R188 - NEW,326665
2021-04,R42,0
2021-04,R46,60731
2021-04,R62,219590
2021-04,R62A,162707
2021-04,R68,110983
2021-04,R68A,63722
2021-03,A DIVISION,211451
2021-03,B DIVISION,125098
2021-03,FLEET,151093
2021-03,R142,272688
2021-03,R142A,135416
2021-03,R143,168125
2021-03,R160,323775
2021-03,R179,109722
2021-03,R188 - CONVERSION,313123
2021-03,R188 - NEW,288514
2021-03,R42,0
2021-03,R46,59590
2021-03,R62,216497
2021-03,R62A,163399
2021-03,R68,111167
2021-03,R68A,64806
2021-02,A DIVISION,210500
2021-02,B DIVISION,122704
2021-02,FLEET,148867
2021-02,R142,281678
2021-02,R142A,129594
2021-02,R143,175309
2021-02,R160,300407
2021-02,R179,109722
2021-02,R188 - CONVERSION,313123
2021-02,R188 - NEW,288514
2021-02,R42,0
2021-02,R46,58663
2021-02,R62,212098
2021-02,R62A,160004
2021-02,R68,111440
2021-02,R68A,65559
2021-01,A DIVISION,205323
2021-01,B DIVISION,123102
2021-01,FLEET,148070
2021-01,R142,265746
2021-01,R142A,124210
2021-01,R143,172337
2021-01,R160,295061
2021-01,R179,115720
2021-01,R188 - CONVERSION,346459
2021-01,R188 - NEW,289785
2021-01,R32,0
2021-01,R42,0
2021-01,R46,58309
2021-01,R62,220253
2021-01,R62A,154807
2021-01,R68,111553
2021-01,R68A,69009
2020-12,A DIVISION,199721
2020-12,B DIVISION,122406
2020-12,FLEET,146297
2020-12,R142,257773
2020-12,R142A,136116
2020-12,R143,171338
2020-12,R160,288467
2020-12,R179,118793
2020-12,R188 - CONVERSION,307863
2020-12,R188 - NEW,264106
2020-12,R32,0
2020-12,R42,0
2020-12,R46,59443
2020-12,R62,212101
2020-12,R62A,148652
2020-12,R68,111766
2020-12,R68A,63888
2020-11,A DIVISION,195881
2020-11,B DIVISION,121036
2020-11,FLEET,144282
2020-11,R142,248902
2020-11,R142A,139856
2020-11,R143,166019
2020-11,R160,273723
2020-11,R179,130847
2020-11,R188 - CONVERSION,307930
2020-11,R188 - NEW,248902
2020-11,R32,38584
2020-11,R42,0
2020-11,R46,59689
2020-11,R62,212630
2020-11,R62A,144547
2020-11,R68,106270
2020-11,R68A,67633
2020-10,A DIVISION,190777
2020-10,B DIVISION,119329
2020-10,FLEET,141721
2020-10,R142,247970
2020-10,R142A,127777
2020-10,R143,160337
2020-10,R160,262961
2020-10,R179,141389
2020-10,R188 - CONVERSION,285631
2020-10,R188 - NEW,226785
2020-10,R32,0
2020-10,R42,0
2020-10,R46,59561
2020-10,R62,205982
2020-10,R62A,143417
2020-10,R68,102197
2020-10,R68A,65980
2020-09,A DIVISION,185653
2020-09,B DIVISION,118632
2020-09,FLEET,139955
2020-09,R142,244366
2020-09,R142A,126354
2020-09,R143,156775
2020-09,R160,260706
2020-09,R179,141357
2020-09,R188 - CONVERSION,284914
2020-09,R188 - NEW,239632
2020-09,R32,38276
2020-09,R42,0
2020-09,R46,61064
2020-09,R62,200693
2020-09,R62A,136055
2020-09,R68,92923
2020-09,R68A,68298
2020-08,A DIVISION,173228
2020-08,B DIVISION,118272
2020-08,FLEET,136530
2020-08,R142,228483
2020-08,R142A,115667
2020-08,R143,169048
2020-08,R160,269157
2020-08,R179,143164
2020-08,R188 - CONVERSION,280338
2020-08,R188 - NEW,253010
2020-08,R32,34960
2020-08,R42,0
2020-08,R46,60319
2020-08,R62,203143
2020-08,R62A,122937
2020-08,R68,88943
2020-08,R68A,72194
2020-07,A DIVISION,171572
2020-07,B DIVISION,116083
2020-07,FLEET,134407
2020-07,R142,225059
2020-07,R142A,115623
2020-07,R143,182777
2020-07,R160,263441
2020-07,R179,143943
2020-07,R188 - CONVERSION,298945
2020-07,R188 - NEW,295779
2020-07,R32,28665
2020-07,R42,0
2020-07,R46,60813
2020-07,R62,204035
2020-07,R62A,119068
2020-07,R68,84021
2020-07,R68A,78090
2020-06,A DIVISION,170850
2020-06,B DIVISION,115059
2020-06,FLEET,133387
2020-06,R142,224077
2020-06,R142A,127190
2020-06,R143,178705
2020-06,R160,257455
2020-06,R179,144353
2020-06,R188 - CONVERSION,267979
2020-06,R188 - NEW,356066
2020-06,R32,0
2020-06,R42,0
2020-06,R46,63096
2020-06,R62,212521
2020-06,R62A,115083
2020-06,R68,79897
2020-06,R68A,80383
2020-05,A DIVISION,173202
2020-05,B DIVISION,113159
2020-05,FLEET,132417
2020-05,R142,233360
2020-05,R142A,124722
2020-05,R143,174811
2020-05,R160,263297
2020-05,R179,150469
2020-05,R188 - CONVERSION,273394
2020-05,R188 - NEW,412009
2020-05,R32,28441
2020-05,R42,0
2020-05,R46,60166
2020-05,R62,207899
2020-05,R62A,115405
2020-05,R68,76267
2020-05,R68A,82553
2020-04,A DIVISION,173338
2020-04,B DIVISION,112156
2020-04,FLEET,131627
2020-04,R142,237375
2020-04,R142A,123016
2020-04,R143,172658
2020-04,R160,264046
2020-04,R179,150214
2020-04,R188 - CONVERSION,260292
2020-04,R188 - NEW,370648
2020-04,R32,28701
2020-04,R42,0
2020-04,R46,59141
2020-04,R62,225018
2020-04,R62A,114473
2020-04,R68,74277
2020-04,R68A,87354
