,c_a,unit,scp,station,line_name,division,date,time,description,entries,exits
0,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-01-01T00:00:00.000,03:00:00,REGULAR,7511448,2558786
1,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-01-01T00:00:00.000,07:00:00,REGULAR,7511451,2558789
2,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-01-01T00:00:00.000,11:00:00,REGULAR,7511461,2558813
3,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-01-01T00:00:00.000,15:00:00,REGULAR,7511495,2558831
4,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-01-01T00:00:00.000,19:00:00,REGULAR,7511620,2558857
5,A002,R051,02-00-00,59 ST,NQR456W,BMT,2021-01-01T00:00:00.000,23:00:00,REGULAR,7511647,2558865
6,A002,R051,02-00-00,59 ST,NQR456W,BMT,2020-12-31T00:00:00.000,03:00:00,RECOVR AUD,7511071,2558592
7,A002,R051,02-00-00,59 ST,NQR456W,BMT,2020-12-31T00:00:00.000,07:00:00,RECOVR AUD,7511075,2558612
8,A002,R051,02-00-00,59 ST,NQR456W,BMT,2020-12-31T00:00:00.000,11:00:00,RECOVR AUD,7511105,2558703
9,A002,R051,02-00-00,59 ST,NQR456W,BMT,2020-12-31T00:00:00.000,15:00:00,RECOVR AUD,7511220,2558742
10,A002,R051,02-00-00,59 ST,NQR456W,BMT,2020-12-31T00:00:00.000,19:00:00,RECOVR AUD,7511418,2558775
11,A002,R051,02-00-00,59 ST,NQR456W,BMT,2020-12-31T00:00:00.000,23:00:00,RECOVR AUD,7511447,2558784
12,A002,R051,02-00-00,59 ST,NQR456W,BMT,2020-12-30T00:00:00.000,03:00:00,REGULAR,7510464,2558353
13,A002,R051,02-00-00,59 ST,NQR456W,BMT,2020-12-30T00:00:00.000,07:00:00,REGULAR,7510470,2558376
14,A002,R051,02-00-00,59 ST,NQR456W,BMT,2020-12-30T00:00:00.000,11:00:00,REGULAR,7510509,2558496
15,A002,R051,02-00-00,59 ST,NQR456W,BMT,2020-12-30T00:00:00.000,15:00:00,REGULAR,7510649,2558544
