ServiceDate,Agency,FleetType,MDBFValue
09/01/2018,LIRR,Diesel combined,73744
09/01/2018,LIRR,Entire Fleet,161795
09/01/2018,MNR,,103129.0203
08/01/2018,LIRR,M3,55441
08/01/2018,LIRR,M7,518719
08/01/2018,LIRR,DE,14387
08/01/2018,LIRR,DM,14577
08/01/2018,LIRR,C-3,137174
08/01/2018,LIRR,Diesel combined,53222
08/01/2018,LIRR,Entire Fleet,170206
08/01/2018,MNR,,112517.7438
07/01/2018,LIRR,M3,82081
07/01/2018,LIRR,M7,639979
07/01/2018,LIRR,DE,14543
07/01/2018,LIRR,C-3,90986
07/01/2018,LIRR,Diesel combined,41796
07/01/2018,LIRR,Entire Fleet,171731
07/01/2018,MNR,,99888.09522
06/01/2018,LIRR,M3,67267
06/01/2018,LIRR,M7,554422
06/01/2018,LIRR,DE,35433
06/01/2018,LIRR,C-3,134948
06/01/2018,LIRR,Diesel combined,52174
06/01/2018,LIRR,Entire Fleet,178013
06/01/2018,MNR,,139612.1347
05/01/2018,LIRR,M3,87556
05/01/2018,LIRR,M7,465983
05/01/2018,LIRR,DE,13989
05/01/2018,LIRR,DM,6612
05/01/2018,LIRR,C-3,122013
05/01/2018,LIRR,Diesel combined,37614
05/01/2018,LIRR,Entire Fleet,158130
05/01/2018,MNR,,168476.8523
04/01/2018,LIRR,M3,79139
04/01/2018,LIRR,M7,410455
04/01/2018,LIRR,DE,15524
04/01/2018,LIRR,DM,12357
04/01/2018,LIRR,C-3,163257
04/01/2018,LIRR,Diesel combined,53864
04/01/2018,LIRR,Entire Fleet,184923
04/01/2018,MNR,,159566.8534
03/01/2018,LIRR,M3,63234
03/01/2018,LIRR,M7,511624
03/01/2018,LIRR,DE,20319
03/01/2018,LIRR,DM,20018
03/01/2018,LIRR,C-3,171749
03/01/2018,LIRR,Diesel combined,70721
03/01/2018,LIRR,Entire Fleet,206164
03/01/2018,MNR,,212117.5297
02/01/2018,LIRR,M3,106380
02/01/2018,LIRR,M7,464728
02/01/2018,LIRR,DE,18402
02/01/2018,LIRR,DM,54691
02/01/2018,LIRR,C-3,155207
02/01/2018,LIRR,Diesel combined,85281
02/01/2018,LIRR,Entire Fleet,247780
02/01/2018,MNR,,195785.659
01/01/2018,LIRR,M3,58810
01/01/2018,LIRR,M7,645253
01/01/2018,LIRR,DE,23792
01/01/2018,LIRR,DM,17328
01/01/2018,LIRR,C-3,43056
01/01/2018,LIRR,Diesel combined,35557
01/01/2018,LIRR,Entire Fleet,159627
01/01/2018,MNR,,195420.3603
12/01/2017,LIRR,M3,58707
12/01/2017,LIRR,M7,526489
12/01/2017,LIRR,DE,21631
12/01/2017,LIRR,DM,74812
12/01/2017,LIRR,C-3,84546
12/01/2017,LIRR,Diesel combined,69809
12/01/2017,LIRR,Entire Fleet,219075
11/01/2017,LIRR,M3,72807
11/01/2017,LIRR,M7,620591
11/01/2017,LIRR,DE,42641
11/01/2017,LIRR,DM,12035
11/01/2017,LIRR,C-3,131529
11/01/2017,LIRR,Diesel combined,62703
11/01/2017,LIRR,Entire Fleet,219390
10/01/2017,LIRR,M3,98928
10/01/2017,LIRR,M7,464392
10/01/2017,LIRR,DE,18212
10/01/2017,LIRR,DM,20671
10/01/2017,LIRR,C-3,105415
10/01/2017,LIRR,Diesel combined,56978
10/01/2017,LIRR,Entire Fleet,200410
09/01/2017,LIRR,M3,73394
09/01/2017,LIRR,M7,624832
09/01/2017,LIRR,DE,15505
09/01/2017,LIRR,DM,36074
09/01/2017,LIRR,C-3,139081
09/01/2017,LIRR,Diesel combined,66199
09/01/2017,LIRR,Entire Fleet,227607
08/01/2017,LIRR,M3,88123
08/01/2017,LIRR,M7,526924
08/01/2017,LIRR,DE,23714
08/01/2017,LIRR,DM,29658
08/01/2017,LIRR,C-3,196712
08/01/2017,LIRR,Diesel combined,88244
08/01/2017,LIRR,Entire Fleet,244885
07/01/2017,LIRR,M3,57400
07/01/2017,LIRR,M7,507557
07/01/2017,LIRR,DE,12330
07/01/2017,LIRR,DM,46659
07/01/2017,LIRR,C-3,192945
07/01/2017,LIRR,Diesel combined,73185
07/01/2017,LIRR,Entire Fleet,200030
06/01/2017,LIRR,M3,149404
06/01/2017,LIRR,M7,517088
06/01/2017,LIRR,DE,13815
06/01/2017,LIRR,DM,47934
06/01/2017,LIRR,C-3,94456
06/01/2017,LIRR,Diesel combined,58401
06/01/2017,LIRR,Entire Fleet,223430
05/01/2017,LIRR,M3,68689
05/01/2017,LIRR,M7,401919
05/01/2017,LIRR,DE,14668
05/01/2017,LIRR,DM,20027
05/01/2017,LIRR,C-3,176333
05/01/2017,LIRR,Diesel combined,62389
05/01/2017,LIRR,Entire Fleet,186572
04/01/2017,LIRR,M3,131424
04/01/2017,LIRR,M7,277896
04/01/2017,LIRR,DE,29025
04/01/2017,LIRR,DM,33904
04/01/2017,LIRR,C-3,161286
04/01/2017,LIRR,Diesel combined,88892
04/01/2017,LIRR,Entire Fleet,204125
03/01/2017,LIRR,M3,49643
03/01/2017,LIRR,M7,483554
03/01/2017,LIRR,DE,29567
03/01/2017,LIRR,DM,15512
03/01/2017,LIRR,C-3,230439
03/01/2017,LIRR,Diesel combined,77961
03/01/2017,LIRR,Entire Fleet,194915
02/01/2017,LIRR,M3,46317
02/01/2017,LIRR,M7,472674
02/01/2017,LIRR,DE,20778
02/01/2017,LIRR,DM,66182
02/01/2017,LIRR,C-3,203904
02/01/2017,LIRR,Diesel combined,95126
02/01/2017,LIRR,Entire Fleet,206801
01/01/2017,LIRR,M3,84671
01/01/2017,LIRR,M7,349014
01/01/2017,LIRR,DE,18294
01/01/2017,LIRR,DM,18492
01/01/2017,LIRR,C-3,67966
01/01/2017,LIRR,Diesel combined,44479
01/01/2017,LIRR,Entire Fleet,162757
12/01/2016,LIRR,M3,59759
12/01/2016,LIRR,M7,1340112
12/01/2016,LIRR,DE,19131
12/01/2016,LIRR,DM,36212
12/01/2016,LIRR,C-3,137635
12/01/2016,LIRR,Diesel combined,71355
12/01/2016,LIRR,Entire Fleet,262088
11/01/2016,LIRR,M3,57856
11/01/2016,LIRR,M7,340568
11/01/2016,LIRR,DE,44307
11/01/2016,LIRR,DM,68782
11/01/2016,LIRR,C-3,213671
11/01/2016,LIRR,Diesel combined,133069
11/01/2016,LIRR,Entire Fleet,214254
10/01/2016,LIRR,M3,63367
10/01/2016,LIRR,M7,340288
10/01/2016,LIRR,DE,43798
10/01/2016,LIRR,DM,24903
10/01/2016,LIRR,C-3,222075
10/01/2016,LIRR,Diesel combined,103566
10/01/2016,LIRR,Entire Fleet,203223
09/01/2016,LIRR,M3,54465
09/01/2016,LIRR,M7,724333
09/01/2016,LIRR,DE,98547
09/01/2016,LIRR,DM,36749
09/01/2016,LIRR,C-3,102179
09/01/2016,LIRR,Diesel combined,88730
09/01/2016,LIRR,Entire Fleet,240825
08/01/2016,LIRR,M3,47921
08/01/2016,LIRR,M7,537173
08/01/2016,LIRR,DE,29087
08/01/2016,LIRR,DM,19507
08/01/2016,LIRR,C-3,189804
08/01/2016,LIRR,Diesel combined,78668
08/01/2016,LIRR,Entire Fleet,202671
07/01/2016,LIRR,M3,79190
07/01/2016,LIRR,M7,373487
07/01/2016,LIRR,DE,13047
07/01/2016,LIRR,DM,29087
07/01/2016,LIRR,C-3,245959
07/01/2016,LIRR,Diesel combined,70498
07/01/2016,LIRR,Entire Fleet,200619
06/01/2016,LIRR,M3,63780
06/01/2016,LIRR,M7,527476
06/01/2016,LIRR,DE,15333
06/01/2016,LIRR,DM,28833
06/01/2016,LIRR,C-3,244096
06/01/2016,LIRR,Diesel combined,75899
06/01/2016,LIRR,Entire Fleet,223193
05/01/2016,LIRR,M3,52663
05/01/2016,LIRR,M7,531184
05/01/2016,LIRR,DE,27447
05/01/2016,LIRR,DM,17834
05/01/2016,LIRR,C-3,141210
05/01/2016,LIRR,Diesel combined,67505
05/01/2016,LIRR,Entire Fleet,203516
04/01/2016,LIRR,M3,76136
04/01/2016,LIRR,M7,319547
04/01/2016,LIRR,DE,84453
04/01/2016,LIRR,DM,38605
04/01/2016,LIRR,C-3,222626
04/01/2016,LIRR,Diesel combined,165908
04/01/2016,LIRR,Entire Fleet,231259
03/01/2016,LIRR,M3,88162
03/01/2016,LIRR,M7,495283
03/01/2016,LIRR,DE,9745
03/01/2016,LIRR,DM,28269
03/01/2016,LIRR,C-3,177406
03/01/2016,LIRR,Diesel combined,55133
03/01/2016,LIRR,Entire Fleet,207855
02/01/2016,LIRR,M3,65812
02/01/2016,LIRR,M7,276218
02/01/2016,LIRR,DE,25501
02/01/2016,LIRR,DM,19692
02/01/2016,LIRR,C-3,80894
02/01/2016,LIRR,Diesel combined,53495
02/01/2016,LIRR,Entire Fleet,155876
01/01/2016,LIRR,M3,117485
01/01/2016,LIRR,M7,515961
01/01/2016,LIRR,DE,13631
01/01/2016,LIRR,DM,38991
01/01/2016,LIRR,C-3,157384
01/01/2016,LIRR,Diesel combined,65775
01/01/2016,LIRR,Entire Fleet,236115
12/01/2015,LIRR,M3,70784
12/01/2015,LIRR,M7,446939
12/01/2015,LIRR,DE,43415
12/01/2015,LIRR,DM,80247
12/01/2015,LIRR,C-3,116269
12/01/2015,LIRR,Diesel combined,108087
12/01/2015,LIRR,Entire Fleet,242651
11/01/2015,LIRR,M3,85289
11/01/2015,LIRR,M7,459694
11/01/2015,LIRR,DE,28361
11/01/2015,LIRR,DM,77570
11/01/2015,LIRR,C-3,225773
11/01/2015,LIRR,Diesel combined,119996
11/01/2015,LIRR,Entire Fleet,267014
10/01/2015,LIRR,M3,67884
10/01/2015,LIRR,M7,351013
10/01/2015,LIRR,DE,23068
10/01/2015,LIRR,DM,44062
10/01/2015,LIRR,C-3,188890
10/01/2015,LIRR,Diesel combined,93596
10/01/2015,LIRR,Entire Fleet,204370
09/01/2015,LIRR,M3,49516
09/01/2015,LIRR,M7,426437
09/01/2015,LIRR,DE,29294
09/01/2015,LIRR,DM,16699
09/01/2015,LIRR,C-3,103088
09/01/2015,LIRR,Diesel combined,59533
09/01/2015,LIRR,Entire Fleet,172498
08/01/2015,LIRR,M3,67516
08/01/2015,LIRR,M7,378058
08/01/2015,LIRR,DE,85208
08/01/2015,LIRR,DM,23198
08/01/2015,LIRR,C-3,96668
08/01/2015,LIRR,Diesel combined,73180
08/01/2015,LIRR,Entire Fleet,193837
07/01/2015,LIRR,M3,115119
07/01/2015,LIRR,M7,420325
07/01/2015,LIRR,DE,11991
07/01/2015,LIRR,DM,32898
07/01/2015,LIRR,C-3,112945
07/01/2015,LIRR,Diesel combined,57250
07/01/2015,LIRR,Entire Fleet,200373
06/01/2015,LIRR,M3,48542
06/01/2015,LIRR,M7,402377
06/01/2015,LIRR,DE,19423
06/01/2015,LIRR,DM,31589
06/01/2015,LIRR,C-3,124069
06/01/2015,LIRR,Diesel combined,70529
06/01/2015,LIRR,Entire Fleet,177112
05/01/2015,LIRR,M3,93830
05/01/2015,LIRR,M7,851080
05/01/2015,LIRR,DE,28323
05/01/2015,LIRR,DM,17526
05/01/2015,LIRR,C-3,185614
05/01/2015,LIRR,Diesel combined,76254
05/01/2015,LIRR,Entire Fleet,274355
04/01/2015,LIRR,M3,50928
04/01/2015,LIRR,M7,1740356
04/01/2015,LIRR,DE,27648
04/01/2015,LIRR,DM,68331
04/01/2015,LIRR,C-3,157226
04/01/2015,LIRR,Diesel combined,97523
04/01/2015,LIRR,Entire Fleet,298248
03/01/2015,LIRR,M3,54056
03/01/2015,LIRR,M7,667686
03/01/2015,LIRR,DE,29430
03/01/2015,LIRR,DM,18103
03/01/2015,LIRR,C-3,98945
03/01/2015,LIRR,Diesel combined,60951
03/01/2015,LIRR,Entire Fleet,210480
02/01/2015,LIRR,M3,52108
02/01/2015,LIRR,M7,400525
02/01/2015,LIRR,DE,28009
02/01/2015,LIRR,DM,15610
02/01/2015,LIRR,C-3,79876
02/01/2015,LIRR,Diesel combined,52365
02/01/2015,LIRR,Entire Fleet,168354
01/01/2015,LIRR,M3,63742
01/01/2015,LIRR,M7,584288
01/01/2015,LIRR,DE,18313
01/01/2015,LIRR,DM,8488
01/01/2015,LIRR,C-3,100400
01/01/2015,LIRR,Diesel combined,43113
01/01/2015,LIRR,Entire Fleet,179211
