ServiceDate,DelayCategory,NoofTrains
5/1/2015,Engineering (Unscheduled),199
5/1/2015,Engineering (Scheduled),38
5/1/2015,Customers,298
5/1/2015,Capital Projects,13
5/1/2015,3rd Party Operations,168
4/1/2015,3rd Party Operations,219
4/1/2015,Capital Projects,18
4/1/2015,Customers,286
4/1/2015,Engineering (Scheduled),57
4/1/2015,Engineering (Unscheduled),63
4/1/2015,Maintenance of Equipment,69
4/1/2015,Other,109
4/1/2015,Police,302
4/1/2015,Special Events,60
4/1/2015,Transportation,19
4/1/2015,Weather & Environmental,41
3/1/2015,Weather & Environmental,509
3/1/2015,Transportation,37
3/1/2015,Special Events,31
3/1/2015,Police,165
3/1/2015,Other,135
3/1/2015,Maintenance of Equipment,114
3/1/2015,Engineering (Unscheduled),188
3/1/2015,Engineering (Scheduled),78
3/1/2015,Customers,294
3/1/2015,Capital Projects,2
3/1/2015,3rd Party Operations,462
2/1/2015,3rd Party Operations,215
2/1/2015,Capital Projects,10
2/1/2015,Customers,279
2/1/2015,Engineering (Scheduled),6
2/1/2015,Engineering (Unscheduled),209
2/1/2015,Maintenance of Equipment,165
2/1/2015,Other,159
2/1/2015,Police,176
2/1/2015,Special Events,5
2/1/2015,Transportation,71
2/1/2015,Weather & Environmental,1183
1/1/2015,Weather & Environmental,849
1/1/2015,Transportation,12
1/1/2015,Police,166
1/1/2015,Special Events,17
1/1/2015,Other,201
1/1/2015,Maintenance of Equipment,163
1/1/2015,Engineering (Scheduled),6
1/1/2015,Engineering (Unscheduled),123
1/1/2015,Customers,190
1/1/2015,Capital Projects,1
1/1/2015,3rd Party Operations,238
