ServiceDate,DelayCategory,NoofTrains
7/1/2020,Other,67
7/1/2020,Police,67
7/1/2020,Special Events,0
7/1/2020,Transportation,14
7/1/2020,Weather & Environmental,84
6/1/2020,3rd Party Operations,16
6/1/2020,Capital Projects,54
6/1/2020,Customers,21
6/1/2020,Engineering (Scheduled),26
6/1/2020,Engineering (Unscheduled),105
6/1/2020,Maintenance of Equipment,82
6/1/2020,Other,57
6/1/2020,Police,74
6/1/2020,Special Events,0
6/1/2020,Transportation,21
6/1/2020,Weather & Environmental,5
5/1/2020,3rd Party Operations,12
5/1/2020,Capital Projects,33
5/1/2020,Customers,17
5/1/2020,Engineering (Scheduled),16
5/1/2020,Engineering (Unscheduled),49
5/1/2020,Maintenance of Equipment,32
5/1/2020,Other,25
5/1/2020,Police,36
5/1/2020,Special Events,3
5/1/2020,Transportation,6
5/1/2020,Weather & Environmental,4
4/1/2020,3rd Party Operations,3
4/1/2020,Capital Projects,31
4/1/2020,Customers,14
4/1/2020,Engineering (Scheduled),13
4/1/2020,Engineering (Unscheduled),57
4/1/2020,Maintenance of Equipment,25
4/1/2020,Other,18
4/1/2020,Police,35
4/1/2020,Special Events,0
4/1/2020,Transportation,14
4/1/2020,Weather & Environmental,61
3/1/2020,3rd Party Operations,189
3/1/2020,Capital Projects,70
3/1/2020,Customers,113
3/1/2020,Engineering (Scheduled),37
3/1/2020,Engineering (Unscheduled),165
3/1/2020,Maintenance of Equipment,73
3/1/2020,Other,101
3/1/2020,Police,145
3/1/2020,Special Events,7
3/1/2020,Transportation,44
3/1/2020,Weather & Environmental,12
2/1/2020,3rd Party Operations,76
2/1/2020,Capital Projects,56
2/1/2020,Customers,290
2/1/2020,Engineering (Scheduled),34
2/1/2020,Engineering (Unscheduled),202
2/1/2020,Maintenance of Equipment,135
2/1/2020,Other,115
2/1/2020,Police,79
2/1/2020,Special Events,12
2/1/2020,Transportation,56
2/1/2020,Weather & Environmental,53
1/1/2020,3rd Party Operations,65
1/1/2020,Capital Projects,195
1/1/2020,Customers,381
1/1/2020,Engineering (Scheduled),121
1/1/2020,Engineering (Unscheduled),200
1/1/2020,Maintenance of Equipment,123
1/1/2020,Other,69
1/1/2020,Police,133
1/1/2020,Special Events,11
1/1/2020,Transportation,59
1/1/2020,Weather & Environmental,79
12/1/2019,Weather & Environmental,238
12/1/2019,Customers,314
12/1/2019,Transportation,21
12/1/2019,3rd Party Operations,90
12/1/2019,Capital Projects,99
12/1/2019,Engineering (Scheduled),68
12/1/2019,Engineering (Unscheduled),261
12/1/2019,Maintenance of Equipment,213
12/1/2019,Other,54
12/1/2019,Police,92
12/1/2019,Special Events,84
11/1/2019,Other,88
11/1/2019,3rd Party Operations,52
11/1/2019,Capital Projects,147
11/1/2019,Customers,422
11/1/2019,Engineering (Scheduled),66
11/1/2019,Engineering (Unscheduled),262
11/1/2019,Maintenance of Equipment,234
11/1/2019,Police,150
11/1/2019,Special Events,89
11/1/2019,Transportation,27
11/1/2019,Weather & Environmental,343
10/1/2019,3rd Party Operations,40
10/1/2019,Capital Projects,102
10/1/2019,Customers,450
10/1/2019,Engineering (Scheduled),71
10/1/2019,Engineering (Unscheduled),282
10/1/2019,Maintenance of Equipment,226
10/1/2019,Other,155
10/1/2019,Police,192
10/1/2019,Special Events,15
