remote_station_id,complex_id,station,line_name,division
R079,8.0,5 AVE-59 ST,NQR,BMT
R080,9.0,57 ST-7 AVE,NQR,BMT
R081,8.0,49 ST-7 AVE,NQR,BMT
R082,13.0,28 ST-BROADWAY,NR,BMT
R083,14.0,23 ST-5 AVE,NR,BMT
R084,614.0,59 ST-COLUMBUS,1ABCD,IRT
R085,16.0,8 ST-B'WAY NYU,NR,BMT
R086,17.0,PRINCE ST-B'WAY,NR,BMT
R087,623.0,MURRAY ST-B'WAY,R,BMT
R088,624.0,CORTLANDT ST,R,BMT
R089,636.0,JAY ST-METROTEC,R,BMT
R090,6.0,BEEBE-39 AVE,NQ,BMT
R091,5.0,WASHINGTON-36 A,NQ,BMT
R092,4.0,BROADWAY-31 ST,NQ,BMT
R093,3.0,GRAND-30 AVE,NQ,BMT
R094,2.0,HOYT ST-ASTORIA,NQ,BMT
R095,1.0,DITMARS BL-31 S,NQ,BMT
R096,453.0,82 ST-JACKSON H,7,IRT
R097,451.0,JUNCTION BLVD,7,IRT
R098,44.0,CHURCH AVE,BQ,BMT
R099,26.0,DEKALB AVE,BDNQR,BMT
R100,108.0,METROPOLITAN AV,M,BMT
R101,151.0,145 ST,ABCD,IND
R102,153.0,125 ST,ACBD,IND
R103,621.0,BROADWAY-ENY,ACJLZ,IND
R104,218.0,167 ST,BD,IND
R105,601.0,14 ST,123FLM,IRT
R106,365.0,CASTLE HILL AVE,6,IRT
R107,363.0,WESTCHESTER SQ,6,IRT
R108,620.0,BOROUGH HALL/CT,2345R,IRT
R109,356.0,CHURCH AVE,25,IRT
R110,359.0,FLATBUSH AVE,25,IRT
R111,165.0,23 ST,CE,IND
R112,213.0,FORDHAM ROAD,BD,IND
R113,277.0,7 AVE-53 ST,BDE,IND
R114,256.0,PARSONS BLVD,F,IND
R115,255.0,169 ST,F,IND
R116,316.0,50 ST,1,IRT
R117,293.0,242 ST,1,IRT
R118,623.0,CANAL ST,JNQRZ6,BMT
R119,382.0,FORDHAM ROAD,4,IRT
R120,368.0,MORRISON AVE,6,IRT
R121,461.0,QUEENSBORO PLZ,7NQ,IRT
R122,452.0,90 ST-ELMHURST,7,IRT
R123,627.0,FRANKLIN AVE,2345S,IRT
R124,344.0,KINGSTON AVE,3,IRT
R125,107.0,BROAD ST,JZ,BMT
R126,147.0,175 ST,A,IND
R127,636.0,JAY ST-METROTEC,ACF,IND
R128,257.0,SUTPHIN BLVD,F,IND
R129,236.0,BERGEN ST,FG,IND
R130,250.0,KINGS HIGHWAY,F,IND
R131,405.0,23 ST,6,IRT
R132,392.0,125 ST,456,IRT
R133,379.0,MOSHOLU PARKWAY,4,IRT
R134,463.0,HUNTERS PT AVE,7,IRT
R135,358.0,NEWKIRK AVE,25,IRT
R136,54.0,SHEEPSHEAD BAY,BQ,BMT
R137,630.0,MYRTLE AVE,LM,BMT
R138,167.0,W 4 ST-WASH SQ,ABCDEFM,IND
R139,169.0,CANAL ST,ACE,IND
