,Date,total-ridership,agency
1069,2/21/2021,25200,LIRR
1070,2/20/2021,30900,LIRR
1071,2/19/2021,64100,LIRR
1072,2/18/2021,58000,LIRR
1073,2/17/2021,74200,LIRR
1074,2/16/2021,72700,LIRR
1075,2/15/2021,65700,LIRR
1076,2/14/2021,23400,LIRR
1077,2/13/2021,29300,LIRR
1078,2/12/2021,72100,LIRR
1079,2/11/2021,70200,LIRR
1080,2/10/2021,71300,LIRR
1081,2/9/2021,69500,LIRR
1082,2/8/2021,71000,LIRR
1083,2/7/2021,17100,LIRR
1084,2/6/2021,29200,LIRR
1085,2/5/2021,68900,LIRR
1086,2/4/2021,71300,LIRR
1087,2/3/2021,69100,LIRR
1088,2/2/2021,22800,LIRR
1089,2/1/2021,8600,LIRR
1090,1/31/2021,23100,LIRR
1091,1/30/2021,26600,LIRR
1092,1/29/2021,65100,LIRR
1093,1/28/2021,70000,LIRR
1094,1/27/2021,70400,LIRR
1095,1/26/2021,68200,LIRR
1096,1/25/2021,73100,LIRR
1097,1/24/2021,24000,LIRR
1098,1/23/2021,27900,LIRR
1099,1/22/2021,71300,LIRR
1100,1/21/2021,71200,LIRR
1101,1/20/2021,67900,LIRR
1102,1/19/2021,72600,LIRR
1103,1/18/2021,68700,LIRR
1104,1/17/2021,24200,LIRR
1105,1/16/2021,27100,LIRR
1106,1/15/2021,70200,LIRR
1107,1/14/2021,70900,LIRR
1108,1/13/2021,70600,LIRR
1109,1/12/2021,71400,LIRR
1110,1/11/2021,72300,LIRR
1111,1/10/2021,23800,LIRR
1112,1/9/2021,27000,LIRR
1113,1/8/2021,68600,LIRR
1114,1/7/2021,69700,LIRR
1115,1/6/2021,70300,LIRR
1116,1/5/2021,70400,LIRR
1117,1/4/2021,71100,LIRR
1118,1/3/2021,20800,LIRR
1119,1/2/2021,28900,LIRR
1120,1/1/2021,29000,LIRR
1121,12/31/2020,75200,LIRR
1122,12/30/2020,79300,LIRR
1123,12/29/2020,78900,LIRR
1124,12/28/2020,81600,LIRR
1125,12/27/2020,34400,LIRR
1126,12/26/2020,36000,LIRR
1127,12/25/2020,51300,LIRR
1128,12/24/2020,75800,LIRR
1129,12/23/2020,84400,LIRR
1130,12/22/2020,82000,LIRR
1131,12/21/2020,81200,LIRR
1132,12/20/2020,32600,LIRR
1133,12/19/2020,41100,LIRR
1134,12/18/2020,74900,LIRR
1135,12/17/2020,21400,LIRR
1136,12/16/2020,68100,LIRR
1137,12/15/2020,78400,LIRR
1138,12/14/2020,75000,LIRR
1139,12/13/2020,39300,LIRR
1140,12/12/2020,41800,LIRR
1141,12/11/2020,79700,LIRR
1142,12/10/2020,76800,LIRR
1143,12/9/2020,74700,LIRR
1144,12/8/2020,75000,LIRR
1145,12/7/2020,77800,LIRR
1146,12/6/2020,35100,LIRR
1147,12/5/2020,33500,LIRR
1148,12/4/2020,72100,LIRR
1149,12/3/2020,75100,LIRR
1150,12/2/2020,73600,LIRR
1151,12/1/2020,73600,LIRR
1152,11/30/2020,80000,LIRR
1153,11/29/2020,32600,LIRR
1154,11/28/2020,37800,LIRR
1155,11/27/2020,77300,LIRR
1156,11/26/2020,72600,LIRR
1157,11/25/2020,93400,LIRR
1158,11/24/2020,89800,LIRR
1159,11/23/2020,87700,LIRR
1160,11/22/2020,31000,LIRR
1161,11/21/2020,39200,LIRR
1162,11/20/2020,87400,LIRR
1163,11/19/2020,84700,LIRR
1164,11/18/2020,84100,LIRR
1165,11/17/2020,87000,LIRR
1166,11/16/2020,89500,LIRR
1167,11/15/2020,30900,LIRR
1168,11/14/2020,41400,LIRR
1169,11/13/2020,86300,LIRR
1170,11/12/2020,86200,LIRR
1171,11/11/2020,83300,LIRR
1172,11/10/2020,91500,LIRR
1173,11/9/2020,91700,LIRR
1174,11/8/2020,38500,LIRR
1175,11/7/2020,46400,LIRR
1176,11/6/2020,89500,LIRR
1177,11/5/2020,87000,LIRR
1178,11/4/2020,81600,LIRR
1179,11/3/2020,82100,LIRR
1180,11/2/2020,87200,LIRR
1181,11/1/2020,29500,LIRR
1182,10/31/2020,41500,LIRR
1183,10/30/2020,84300,LIRR
1184,10/29/2020,81800,LIRR
1185,10/28/2020,86700,LIRR
1186,10/27/2020,87400,LIRR
1187,10/26/2020,86700,LIRR
1188,10/25/2020,33700,LIRR
1189,10/24/2020,43600,LIRR
1190,10/23/2020,89900,LIRR
1191,10/22/2020,88700,LIRR
1192,10/21/2020,86200,LIRR
1193,10/20/2020,86600,LIRR
1194,10/19/2020,89200,LIRR
1195,10/18/2020,34700,LIRR
1196,10/17/2020,43800,LIRR
1197,10/16/2020,83800,LIRR
1198,10/15/2020,90300,LIRR
1199,10/14/2020,89200,LIRR
1200,10/13/2020,76600,LIRR
1201,10/12/2020,76800,LIRR
1202,10/11/2020,34600,LIRR
1203,10/10/2020,44500,LIRR
1204,10/9/2020,78700,LIRR
1205,10/8/2020,88000,LIRR
1206,10/7/2020,87100,LIRR
1207,10/6/2020,87700,LIRR
1208,10/5/2020,88700,LIRR
1209,10/4/2020,35000,LIRR
1210,10/3/2020,45000,LIRR
1211,10/2/2020,87300,LIRR
1212,10/1/2020,86100,LIRR
1213,9/30/2020,89200,LIRR
1214,9/29/2020,88400,LIRR
1215,9/28/2020,89700,LIRR
1216,9/27/2020,40000,LIRR
1217,9/26/2020,47200,LIRR
1218,9/25/2020,92500,LIRR
1219,9/24/2020,89100,LIRR
1220,9/23/2020,89000,LIRR
1221,9/22/2020,87400,LIRR
1222,9/21/2020,89700,LIRR
1223,9/20/2020,39000,LIRR
1224,9/19/2020,46800,LIRR
1225,9/18/2020,90700,LIRR
1226,9/17/2020,86900,LIRR
1227,9/16/2020,87000,LIRR
1228,9/15/2020,87000,LIRR
1229,9/14/2020,89500,LIRR
1230,9/13/2020,36700,LIRR
1231,9/12/2020,44500,LIRR
1232,9/11/2020,88600,LIRR
1233,9/10/2020,82100,LIRR
1234,9/9/2020,86100,LIRR
1235,9/8/2020,90600,LIRR
1236,9/7/2020,80000,LIRR
1237,9/6/2020,44700,LIRR
1238,9/5/2020,50500,LIRR
1239,9/4/2020,88300,LIRR
1240,9/3/2020,82600,LIRR
1241,9/2/2020,77600,LIRR
1242,9/1/2020,76500,LIRR
1243,8/31/2020,78100,LIRR
1244,8/30/2020,45100,LIRR
1245,8/29/2020,37600,LIRR
1246,8/28/2020,76100,LIRR
1247,8/27/2020,73100,LIRR
1248,8/26/2020,76600,LIRR
1249,8/25/2020,73300,LIRR
1250,8/24/2020,75100,LIRR
1251,8/23/2020,37900,LIRR
1252,8/22/2020,49100,LIRR
1253,8/21/2020,76100,LIRR
1254,8/20/2020,75600,LIRR
1255,8/19/2020,70100,LIRR
1256,8/18/2020,74200,LIRR
1257,8/17/2020,74500,LIRR
1258,8/16/2020,29900,LIRR
1259,8/15/2020,46800,LIRR
1260,8/14/2020,72900,LIRR
1261,8/13/2020,69200,LIRR
1262,8/12/2020,68300,LIRR
1263,8/11/2020,72400,LIRR
1264,8/10/2020,73500,LIRR
1265,8/9/2020,37600,LIRR
1266,8/8/2020,41700,LIRR
1267,8/7/2020,66000,LIRR
1268,8/6/2020,66700,LIRR
1269,8/5/2020,58000,LIRR
1270,8/4/2020,36800,LIRR
1271,8/3/2020,70800,LIRR
1272,8/2/2020,30500,LIRR
1273,8/1/2020,44400,LIRR
1274,7/31/2020,67600,LIRR
1275,7/30/2020,69000,LIRR
1276,7/29/2020,70000,LIRR
1277,7/28/2020,66700,LIRR
1278,7/27/2020,70100,LIRR
1279,7/26/2020,36200,LIRR
1280,7/25/2020,43300,LIRR
1281,7/24/2020,65900,LIRR
1282,7/23/2020,65600,LIRR
1283,7/22/2020,65300,LIRR
1284,7/21/2020,67600,LIRR
1285,7/20/2020,67700,LIRR
1286,7/19/2020,36400,LIRR
1287,7/18/2020,41200,LIRR
1288,7/17/2020,64800,LIRR
1289,7/16/2020,66700,LIRR
1290,7/15/2020,66500,LIRR
1291,7/14/2020,66300,LIRR
1292,7/13/2020,66400,LIRR
1293,7/12/2020,34900,LIRR
1294,7/11/2020,30100,LIRR
1295,7/10/2020,55900,LIRR
1296,7/9/2020,65500,LIRR
1297,7/8/2020,63000,LIRR
1298,7/7/2020,61800,LIRR
1299,7/6/2020,63900,LIRR
1300,7/5/2020,34600,LIRR
1301,7/4/2020,38400,LIRR
1302,7/3/2020,56200,LIRR
1303,7/2/2020,64300,LIRR
1304,7/1/2020,56500,LIRR
1305,6/30/2020,58000,LIRR
1306,6/29/2020,63300,LIRR
1307,6/28/2020,25700,LIRR
1308,6/27/2020,26800,LIRR
1309,6/26/2020,55600,LIRR
1310,6/25/2020,53400,LIRR
1311,6/24/2020,52400,LIRR
1312,6/23/2020,52900,LIRR
1313,6/22/2020,53900,LIRR
1314,6/21/2020,27100,LIRR
1315,6/20/2020,29000,LIRR
1316,6/19/2020,50200,LIRR
1317,6/18/2020,47900,LIRR
1318,6/17/2020,47200,LIRR
1319,6/16/2020,46900,LIRR
1320,6/15/2020,47500,LIRR
1321,6/14/2020,20900,LIRR
1322,6/13/2020,25400,LIRR
1323,6/12/2020,45100,LIRR
1324,6/11/2020,41000,LIRR
1325,6/10/2020,43100,LIRR
1326,6/9/2020,42300,LIRR
1327,6/8/2020,42600,LIRR
1328,6/7/2020,16800,LIRR
1329,6/6/2020,18100,LIRR
1330,6/5/2020,33500,LIRR
1331,6/4/2020,29800,LIRR
1332,6/3/2020,32500,LIRR
1333,6/2/2020,33800,LIRR
1334,6/1/2020,34300,LIRR
1335,5/31/2020,13600,LIRR
1336,5/30/2020,15600,LIRR
1337,5/29/2020,25100,LIRR
1338,5/28/2020,25200,LIRR
1339,5/27/2020,26500,LIRR
1340,5/26/2020,26700,LIRR
1341,5/25/2020,19300,LIRR
1342,5/24/2020,11900,LIRR
1343,5/23/2020,11000,LIRR
1344,5/22/2020,22800,LIRR
1345,5/21/2020,22600,LIRR
1346,5/20/2020,22200,LIRR
1347,5/19/2020,21600,LIRR
1348,5/18/2020,22100,LIRR
1349,5/17/2020,8800,LIRR
1350,5/16/2020,11100,LIRR
1351,5/15/2020,20100,LIRR
1352,5/14/2020,19300,LIRR
1353,5/13/2020,19400,LIRR
1354,5/12/2020,19000,LIRR
1355,5/11/2020,18300,LIRR
1356,5/10/2020,8000,LIRR
1357,5/9/2020,7700,LIRR
1358,5/8/2020,15700,LIRR
1359,5/7/2020,16100,LIRR
1360,5/6/2020,14500,LIRR
1361,5/5/2020,13300,LIRR
1362,5/4/2020,11200,LIRR
1363,5/3/2020,3300,LIRR
1364,5/2/2020,4000,LIRR
1365,5/1/2020,6200,LIRR
1366,4/30/2020,9300,LIRR
1367,4/29/2020,9100,LIRR
1368,4/28/2020,9200,LIRR
1369,4/27/2020,8800,LIRR
1370,4/26/2020,1900,LIRR
1371,4/25/2020,2900,LIRR
1372,4/24/2020,7800,LIRR
1373,4/23/2020,8400,LIRR
1374,4/22/2020,8700,LIRR
1375,4/21/2020,8300,LIRR
1376,4/20/2020,8900,LIRR
1377,4/19/2020,2200,LIRR
1378,4/18/2020,2400,LIRR
1379,4/17/2020,8300,LIRR
1380,4/16/2020,8500,LIRR
1381,4/15/2020,8600,LIRR
1382,4/14/2020,8800,LIRR
1383,4/13/2020,8200,LIRR
1384,4/12/2020,2200,LIRR
1385,4/11/2020,2700,LIRR
1386,4/10/2020,8200,LIRR
1387,4/9/2020,8400,LIRR
1388,4/8/2020,9000,LIRR
1389,4/7/2020,9300,LIRR
1390,4/6/2020,10100,LIRR
1391,4/5/2020,3000,LIRR
1392,4/4/2020,3700,LIRR
1393,4/3/2020,9700,LIRR
1394,4/2/2020,10100,LIRR
1395,4/1/2020,10500,LIRR
1396,2/28/2022,148200,MNR
1397,2/27/2022,56000,MNR
1398,2/26/2022,62900,MNR
1399,2/25/2022,93200,MNR
1400,2/24/2022,110400,MNR
1401,2/23/2022,119200,MNR
1402,2/22/2022,112800,MNR
1403,2/21/2022,63900,MNR
1404,2/20/2022,54900,MNR
1405,2/19/2022,66500,MNR
1406,2/18/2022,112000,MNR
1407,2/17/2022,115700,MNR
1408,2/16/2022,115300,MNR
1409,2/15/2022,119000,MNR
1410,2/14/2022,113300,MNR
1411,2/13/2022,46400,MNR
1412,2/12/2022,71800,MNR
1413,2/11/2022,110700,MNR
1414,2/10/2022,115700,MNR
1415,2/9/2022,115300,MNR
1416,2/8/2022,119200,MNR
1417,2/7/2022,111300,MNR
1418,2/6/2022,48400,MNR
1419,2/5/2022,61500,MNR
1420,2/4/2022,94300,MNR
1421,2/3/2022,104100,MNR
1422,2/2/2022,111000,MNR
1423,2/1/2022,111400,MNR
1424,1/31/2022,109700,MNR
1425,1/30/2022,45000,MNR
1426,1/29/2022,22000,MNR
1427,1/28/2022,96400,MNR
1428,1/27/2022,95700,MNR
1429,1/26/2022,96300,MNR
1430,1/25/2022,98900,MNR
1431,1/24/2022,100500,MNR
1432,1/23/2022,43600,MNR
1433,1/22/2022,53700,MNR
1434,1/21/2022,91100,MNR
1435,1/20/2022,88200,MNR
1436,1/19/2022,96300,MNR
1437,1/18/2022,100400,MNR
1438,1/17/2022,44100,MNR
1439,1/16/2022,38000,MNR
1440,1/15/2022,45300,MNR
1441,1/14/2022,88600,MNR
1442,1/13/2022,87700,MNR
1443,1/12/2022,86000,MNR
1444,1/11/2022,81400,MNR
1445,1/10/2022,90200,MNR
1446,1/9/2022,35300,MNR
1447,1/8/2022,46400,MNR
1448,1/7/2022,73100,MNR
1449,1/6/2022,82600,MNR
1450,1/5/2022,77600,MNR
1451,1/4/2022,82000,MNR
1452,1/3/2022,84000,MNR
1453,1/2/2022,42600,MNR
1454,1/1/2022,30300,MNR
1455,12/31/2021,85200,MNR
1456,12/30/2021,90800,MNR
1457,12/29/2021,92600,MNR
1458,12/28/2021,89700,MNR
1459,12/27/2021,89400,MNR
1460,12/26/2021,51500,MNR
1461,12/25/2021,31600,MNR
1462,12/24/2021,81100,MNR
1463,12/23/2021,97200,MNR
1464,12/22/2021,92900,MNR
1465,12/21/2021,97100,MNR
1466,12/20/2021,102700,MNR
1467,12/19/2021,56300,MNR
1468,12/18/2021,66100,MNR
1469,12/17/2021,121000,MNR
1470,12/16/2021,126100,MNR
1471,12/15/2021,129800,MNR
1472,12/14/2021,131800,MNR
1473,12/13/2021,129700,MNR
1474,12/12/2021,66500,MNR
1475,12/11/2021,81100,MNR
1476,12/10/2021,127700,MNR
1477,12/9/2021,126200,MNR
1478,12/8/2021,130200,MNR
1479,12/7/2021,131000,MNR
1480,12/6/2021,127300,MNR
1481,12/5/2021,60500,MNR
1482,12/4/2021,81400,MNR
1483,12/3/2021,119400,MNR
1484,12/2/2021,127500,MNR
1485,12/1/2021,136100,MNR
1486,11/30/2021,136600,MNR
1487,11/29/2021,132500,MNR
1488,11/28/2021,65100,MNR
1489,11/27/2021,76100,MNR
1490,11/26/2021,108700,MNR
1491,11/25/2021,69900,MNR
1492,11/24/2021,139400,MNR
1493,11/23/2021,136600,MNR
1494,11/22/2021,127800,MNR
1495,11/21/2021,66900,MNR
1496,11/20/2021,82900,MNR
1497,11/19/2021,127100,MNR
1498,11/18/2021,132600,MNR
1499,11/17/2021,131100,MNR
1500,11/16/2021,137200,MNR
1501,11/15/2021,132200,MNR
1502,11/14/2021,62900,MNR
1503,11/13/2021,74300,MNR
1504,11/12/2021,117700,MNR
1505,11/11/2021,122900,MNR
1506,11/10/2021,134400,MNR
1507,11/9/2021,134100,MNR
1508,11/8/2021,131100,MNR
1509,11/7/2021,72200,MNR
1510,11/6/2021,80800,MNR
1511,11/5/2021,121800,MNR
1512,11/4/2021,126500,MNR
1513,11/3/2021,131000,MNR
1514,11/2/2021,129300,MNR
1515,11/1/2021,131300,MNR
1516,10/31/2021,66300,MNR
1517,10/30/2021,69300,MNR
1518,10/29/2021,122600,MNR
1519,10/28/2021,132200,MNR
1520,10/27/2021,129900,MNR
1521,10/26/2021,104500,MNR
1522,10/25/2021,125800,MNR
1523,10/24/2021,68200,MNR
1524,10/23/2021,82900,MNR
1525,10/22/2021,126600,MNR
1526,10/21/2021,127300,MNR
1527,10/20/2021,131100,MNR
1528,10/19/2021,130000,MNR
1529,10/18/2021,127400,MNR
1530,10/17/2021,69700,MNR
1531,10/16/2021,74900,MNR
1532,10/15/2021,124700,MNR
1533,10/14/2021,126800,MNR
1534,10/13/2021,124800,MNR
1535,10/12/2021,128200,MNR
1536,10/11/2021,114500,MNR
1537,10/10/2021,59000,MNR
1538,10/9/2021,82000,MNR
1539,10/8/2021,123600,MNR
1540,10/7/2021,121400,MNR
1541,10/6/2021,123100,MNR
1542,10/5/2021,124700,MNR
1543,10/4/2021,121300,MNR
1544,10/3/2021,66800,MNR
1545,10/2/2021,80900,MNR
1546,10/1/2021,116200,MNR
1547,9/30/2021,121800,MNR
1548,9/29/2021,120000,MNR
1549,9/28/2021,118300,MNR
1550,9/27/2021,121500,MNR
1551,9/26/2021,64900,MNR
1552,9/25/2021,81300,MNR
1553,9/24/2021,116700,MNR
1554,9/23/2021,115500,MNR
1555,9/22/2021,120100,MNR
1556,9/21/2021,123900,MNR
1557,9/20/2021,122100,MNR
1558,9/19/2021,64100,MNR
1559,9/18/2021,76300,MNR
1560,9/17/2021,119300,MNR
1561,9/16/2021,107700,MNR
1562,9/15/2021,116400,MNR
1563,9/14/2021,120500,MNR
1564,9/13/2021,122500,MNR
1565,9/12/2021,59000,MNR
1566,9/11/2021,65300,MNR
1567,9/10/2021,113500,MNR
1568,9/9/2021,111700,MNR
1569,9/8/2021,110900,MNR
1570,9/7/2021,113700,MNR
1571,9/6/2021,51300,MNR
1572,9/5/2021,45200,MNR
1573,9/4/2021,57100,MNR
1574,9/3/2021,97900,MNR
1575,9/1/2021,90600,MNR
1576,8/31/2021,99900,MNR
1577,8/30/2021,97100,MNR
1578,8/29/2021,54100,MNR
1579,8/28/2021,56200,MNR
1580,8/27/2021,90500,MNR
1581,8/26/2021,91000,MNR
1582,8/25/2021,93300,MNR
1583,8/24/2021,98300,MNR
1584,8/23/2021,84200,MNR
1585,8/22/2021,16100,MNR
1586,8/21/2021,62000,MNR
1587,8/20/2021,99500,MNR
1588,8/19/2021,93000,MNR
1589,8/18/2021,97900,MNR
1590,8/17/2021,103600,MNR
1591,8/16/2021,100300,MNR
1592,8/15/2021,54400,MNR
1593,8/14/2021,57700,MNR
1594,8/13/2021,91900,MNR
1595,8/12/2021,90800,MNR
1596,8/11/2021,94700,MNR
1597,8/10/2021,95300,MNR
1598,8/9/2021,95600,MNR
1599,8/8/2021,54300,MNR
1600,8/7/2021,67300,MNR
1601,8/6/2021,101200,MNR
1602,8/5/2021,98300,MNR
1603,8/4/2021,99300,MNR
1604,8/3/2021,103200,MNR
1605,8/2/2021,102300,MNR
1606,8/1/2021,52000,MNR
1607,7/31/2021,67100,MNR
1608,7/30/2021,103500,MNR
1609,7/29/2021,94700,MNR
1610,7/28/2021,100000,MNR
1611,7/27/2021,103000,MNR
1612,7/26/2021,101300,MNR
1613,7/25/2021,53100,MNR
1614,7/24/2021,68600,MNR
1615,7/23/2021,101100,MNR
1616,7/22/2021,102300,MNR
1617,7/21/2021,104900,MNR
1618,7/20/2021,107000,MNR
1619,7/19/2021,103400,MNR
1620,7/18/2021,56200,MNR
1621,7/17/2021,64500,MNR
1622,7/16/2021,104300,MNR
1623,7/15/2021,105200,MNR
1624,7/14/2021,101800,MNR
1625,7/13/2021,105300,MNR
1626,7/12/2021,99000,MNR
1627,7/11/2021,53200,MNR
1628,7/10/2021,64400,MNR
1629,7/9/2021,88300,MNR
1630,7/8/2021,93200,MNR
1631,7/7/2021,99100,MNR
1632,7/6/2021,100500,MNR
1633,7/5/2021,59700,MNR
1634,7/4/2021,63900,MNR
1635,7/3/2021,57400,MNR
1636,7/2/2021,94300,MNR
1637,7/1/2021,90000,MNR
1638,6/30/2021,99500,MNR
1639,6/29/2021,97800,MNR
1640,6/28/2021,101500,MNR
1641,6/27/2021,62400,MNR
1642,6/26/2021,66700,MNR
1643,6/25/2021,100500,MNR
1644,6/24/2021,100500,MNR
1645,6/23/2021,101900,MNR
1646,6/22/2021,97600,MNR
1647,6/21/2021,95700,MNR
1648,6/20/2021,60900,MNR
1649,6/19/2021,66100,MNR
1650,6/18/2021,104300,MNR
1651,6/17/2021,98400,MNR
1652,6/16/2021,94700,MNR
1653,6/15/2021,96700,MNR
1654,6/14/2021,91100,MNR
1655,6/13/2021,51700,MNR
1656,6/12/2021,61500,MNR
1657,6/11/2021,94600,MNR
1658,6/10/2021,91300,MNR
1659,6/9/2021,90600,MNR
1660,6/8/2021,88000,MNR
1661,6/7/2021,89400,MNR
1662,6/6/2021,51500,MNR
1663,6/5/2021,62700,MNR
1664,6/4/2021,88900,MNR
1665,6/3/2021,84800,MNR
1666,6/2/2021,90800,MNR
1667,6/1/2021,94900,MNR
1668,5/31/2021,63000,MNR
1669,5/30/2021,47200,MNR
1670,5/29/2021,71700,MNR
1671,5/28/2021,89300,MNR
1672,5/27/2021,90600,MNR
1673,5/26/2021,86700,MNR
1674,5/25/2021,85900,MNR
1675,5/24/2021,80800,MNR
1676,5/23/2021,63700,MNR
1677,5/22/2021,94500,MNR
1678,5/21/2021,90900,MNR
1679,5/20/2021,82700,MNR
1680,5/19/2021,82700,MNR
1681,5/18/2021,80300,MNR
1682,5/17/2021,77300,MNR
1683,5/16/2021,56800,MNR
1684,5/15/2021,91100,MNR
1685,5/14/2021,85700,MNR
1686,5/13/2021,80000,MNR
1687,5/12/2021,77900,MNR
1688,5/11/2021,75400,MNR
1689,5/10/2021,73300,MNR
1690,5/9/2021,59300,MNR
1691,5/8/2021,78700,MNR
1692,5/7/2021,83100,MNR
1693,5/6/2021,76000,MNR
1694,5/5/2021,70300,MNR
1695,5/4/2021,72300,MNR
1696,5/3/2021,67100,MNR
1697,5/2/2021,51300,MNR
1698,5/1/2021,76300,MNR
1699,4/30/2021,77700,MNR
1700,4/29/2021,69000,MNR
1701,4/28/2021,72900,MNR
1702,4/27/2021,69300,MNR
1703,4/26/2021,68600,MNR
1704,4/25/2021,37100,MNR
1705,4/24/2021,78900,MNR
1706,4/23/2021,76100,MNR
1707,4/22/2021,67600,MNR
1708,4/21/2021,66000,MNR
1709,4/20/2021,72000,MNR
1710,4/19/2021,67400,MNR
1711,4/18/2021,48200,MNR
1712,4/17/2021,72600,MNR
1713,4/16/2021,73600,MNR
1714,4/15/2021,63800,MNR
1715,4/14/2021,69900,MNR
1716,4/13/2021,67600,MNR
1717,4/12/2021,63900,MNR
1718,4/11/2021,35600,MNR
1719,4/10/2021,66800,MNR
1720,4/9/2021,71000,MNR
1721,4/8/2021,68000,MNR
1722,4/7/2021,66700,MNR
1723,4/6/2021,66200,MNR
1724,4/5/2021,67700,MNR
1725,4/4/2021,47700,MNR
1726,4/3/2021,68800,MNR
1727,4/2/2021,66800,MNR
1728,4/1/2021,55500,MNR
1729,3/31/2021,61600,MNR
1730,3/30/2021,65600,MNR
1731,3/29/2021,62400,MNR
1732,3/28/2021,29900,MNR
1733,3/27/2021,63600,MNR
1734,3/26/2021,64500,MNR
1735,3/25/2021,61200,MNR
1736,3/24/2021,56500,MNR
1737,3/23/2021,58700,MNR
1738,3/22/2021,61100,MNR
1739,3/21/2021,37600,MNR
1740,3/20/2021,54900,MNR
1741,3/19/2021,60700,MNR
1742,3/18/2021,55400,MNR
1743,3/17/2021,58400,MNR
1744,3/16/2021,56400,MNR
1745,3/15/2021,55800,MNR
1746,3/14/2021,31800,MNR
1747,3/13/2021,52300,MNR
1748,3/12/2021,63200,MNR
1749,3/11/2021,59000,MNR
1750,3/10/2021,58100,MNR
1751,3/9/2021,57700,MNR
1752,3/8/2021,56100,MNR
1753,3/7/2021,30700,MNR
1754,3/6/2021,45300,MNR
1755,3/5/2021,58600,MNR
1756,3/4/2021,55100,MNR
1757,3/3/2021,55500,MNR
1758,3/2/2021,51600,MNR
1759,3/1/2021,51300,MNR
1760,2/28/2021,27700,MNR
1761,2/27/2021,38900,MNR
1762,2/26/2021,56500,MNR
1763,2/25/2021,53400,MNR
1764,2/24/2021,53500,MNR
1765,2/23/2021,51600,MNR
1766,2/22/2021,48900,MNR
1767,2/21/2021,27300,MNR
1768,2/20/2021,41200,MNR
1769,2/19/2021,48700,MNR
1770,2/18/2021,43000,MNR
1771,2/17/2021,53700,MNR
1772,2/16/2021,49900,MNR
1773,2/15/2021,30000,MNR
1774,2/14/2021,28200,MNR
1775,2/13/2021,40800,MNR
1776,2/12/2021,53700,MNR
1777,2/11/2021,50500,MNR
1778,2/10/2021,50100,MNR
1779,2/9/2021,47600,MNR
1780,2/8/2021,50900,MNR
1781,2/7/2021,19400,MNR
1782,2/6/2021,40300,MNR
1783,2/5/2021,51300,MNR
1784,2/4/2021,51000,MNR
1785,2/3/2021,49700,MNR
1786,2/2/2021,30600,MNR
1787,2/1/2021,16700,MNR
1788,1/31/2021,28400,MNR
1789,1/30/2021,40800,MNR
1790,1/29/2021,49700,MNR
1791,1/28/2021,52000,MNR
1792,1/27/2021,50500,MNR
1793,1/26/2021,49300,MNR
1794,1/25/2021,52100,MNR
1795,1/24/2021,29000,MNR
1796,1/23/2021,42700,MNR
1797,1/22/2021,54000,MNR
1798,1/21/2021,52000,MNR
1799,1/20/2021,50000,MNR
1800,1/19/2021,52600,MNR
1801,1/18/2021,31900,MNR
1802,1/17/2021,32900,MNR
1803,1/16/2021,43400,MNR
1804,1/15/2021,54000,MNR
1805,1/14/2021,52500,MNR
1806,1/13/2021,51700,MNR
1807,1/12/2021,52100,MNR
1808,1/11/2021,51400,MNR
1809,1/10/2021,29300,MNR
1810,1/9/2021,42900,MNR
1811,1/8/2021,51500,MNR
1812,1/7/2021,51000,MNR
1813,1/6/2021,50800,MNR
1814,1/5/2021,51000,MNR
1815,1/4/2021,50900,MNR
1816,1/3/2021,25200,MNR
1817,1/2/2021,44500,MNR
1818,1/1/2021,8200,MNR
1819,12/31/2020,21600,MNR
1820,12/30/2020,58000,MNR
1821,12/29/2020,56200,MNR
1822,12/28/2020,58500,MNR
1823,12/27/2020,33200,MNR
1824,12/26/2020,42400,MNR
1825,12/25/2020,7300,MNR
1826,12/24/2020,54600,MNR
1827,12/23/2020,59700,MNR
1828,12/22/2020,56400,MNR
1829,12/21/2020,56800,MNR
1830,12/20/2020,30500,MNR
1831,12/19/2020,46600,MNR
1832,12/18/2020,54400,MNR
1833,12/17/2020,17600,MNR
1834,12/16/2020,47600,MNR
1835,12/15/2020,54600,MNR
1836,12/14/2020,51500,MNR
1837,12/13/2020,36800,MNR
1838,12/12/2020,46400,MNR
1839,12/11/2020,55900,MNR
1840,12/10/2020,52800,MNR
1841,12/9/2020,50900,MNR
1842,12/8/2020,51900,MNR
1843,12/7/2020,52600,MNR
1844,12/6/2020,31900,MNR
1845,12/5/2020,37900,MNR
1846,12/4/2020,51700,MNR
1847,12/3/2020,52000,MNR
1848,12/2/2020,50500,MNR
1849,12/1/2020,50200,MNR
1850,11/30/2020,54200,MNR
1851,11/29/2020,34400,MNR
1852,11/28/2020,45600,MNR
1853,11/27/2020,12300,MNR
1854,11/26/2020,10700,MNR
1855,11/25/2020,67200,MNR
1856,11/24/2020,61100,MNR
1857,11/23/2020,59500,MNR
1858,11/22/2020,31900,MNR
1859,11/21/2020,51200,MNR
1860,11/20/2020,60400,MNR
1861,11/19/2020,57800,MNR
1862,11/18/2020,57700,MNR
1863,11/17/2020,58600,MNR
1864,11/16/2020,61400,MNR
1865,11/15/2020,32900,MNR
1866,11/14/2020,58000,MNR
1867,11/13/2020,61000,MNR
1868,11/12/2020,58200,MNR
1869,11/11/2020,21200,MNR
1870,11/10/2020,63000,MNR
1871,11/9/2020,62400,MNR
