,division,line,station_name,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,allroutes
1106,IND,Culver,Neptune Av-Van Siclen,F,X,X,X,X,X,X,X,X,X,X,F
1108,IRT,Eastern Parkway,Bergen St,2,3,X,X,X,X,X,X,X,X,X,"2,3"
1113,IND,Queens Boulevard,5th Av-53rd St,E,M,X,X,X,X,X,X,X,X,X,"E,M"
1118,IND,Culver,Bay Parkway-22nd Av,F,X,X,X,X,X,X,X,X,X,X,F
1121,IND,Crosstown,Fulton St,G,X,X,X,X,X,X,X,X,X,X,G
1123,IND,6 Avenue,Fort Hamilton Parkway,F,X,X,X,X,X,X,X,X,X,X,F
1127,BMT,Brighton,West 8th St,F,Q,X,X,X,X,X,X,X,X,X,"F,Q"
1129,BMT,Coney Island,West 8th St,F,Q,X,X,X,X,X,X,X,X,X,"F,Q"
1131,IRT,Flushing,Grand Central-42nd St,GS,4,5,6,7,X,X,X,X,X,X,"GS,4,5,6,7"
1132,IND,Culver,Av I,F,X,X,X,X,X,X,X,X,X,X,F
1136,IRT,Broadway-7th Ave,86th St,1,X,X,X,X,X,X,X,X,X,X,1
1141,IND,8 Avenue,72nd St,B,C,X,X,X,X,X,X,X,X,X,"B,C"
1144,IRT,Lexington,Grand Central-42nd St,GS,4,5,6,7,X,X,X,X,X,X,"GS,4,5,6,7"
1152,BMT,Brighton,Atlantic Av,B,Q,D,N,R,2,3,4.0,5.0,X,X,"B,Q,D,N,R,2,3,4.0,5.0"
1153,IND,Culver,18th Av,F,X,X,X,X,X,X,X,X,X,X,F
1157,IND,6 Avenue,57th St,F,X,X,X,X,X,X,X,X,X,X,F
1165,IRT,Eastern Parkway,Atlantic Av-Barclays Ctr,B,D,N,Q,R,2,3,4.0,5.0,X,X,"B,D,N,Q,R,2,3,4.0,5.0"
1166,IND,Culver,Ditmas Av,F,X,X,X,X,X,X,X,X,X,X,F
1170,BMT,Sea Beach,86th St,N,X,X,X,X,X,X,X,X,X,X,N
1171,BMT,4 Avenue,Atlantic Av-Barclays Ctr,B,Q,D,N,R,2,3,4.0,5.0,X,X,"B,Q,D,N,R,2,3,4.0,5.0"
1172,BMT,4 Avenue,Pacific St,B,Q,D,N,R,2,3,4.0,5.0,X,X,"B,Q,D,N,R,2,3,4.0,5.0"
1174,BMT,Sea Beach,Av U,N,X,X,X,X,X,X,X,X,X,X,N
1176,IRT,42nd St Shuttle,Grand Central,GS,4,5,6,7,X,X,X,X,X,X,"GS,4,5,6,7"
1183,IND,6 Avenue,Prospect Park-15 St,F,X,X,X,X,X,X,X,X,X,X,F
1189,IND,6 Avenue,Church Av,F,X,X,X,X,X,X,X,X,X,X,F
1195,IRT,Broadway-7th Ave,79th St,1,X,X,X,X,X,X,X,X,X,X,1
1199,IND,6 Avenue,7th Av,F,X,X,X,X,X,X,X,X,X,X,F
1207,BMT,Sea Beach,Kings Highway,N,X,X,X,X,X,X,X,X,X,X,N
1209,IRT,Eastern Parkway,Nevins St,2,3,4,5,X,X,X,X,X,X,X,"2,3,4,5"
1213,BMT,Broadway,57th St,N,Q,R,X,X,X,X,X,X,X,X,"N,Q,R"
1221,BMT,Brighton,Stillwell Av,D,F,N,Q,X,X,X,X,X,X,X,"D,F,N,Q"
1222,BMT,Coney Island,Stillwell Av,D,F,N,Q,X,X,X,X,X,X,X,"D,F,N,Q"
1223,IND,6 Avenue,47-50th Sts Rockefeller Center,B,D,F,M,X,X,X,X,X,X,X,"B,D,F,M"
1239,IND,6 Avenue,47-50th Sts Rockefeller Center,B,D,F,M,7,X,X,X,X,X,X,"B,D,F,M,7"
1240,BMT,Canarsie,1st Av,L,X,X,X,X,X,X,X,X,X,X,L
1244,IND,Queens Boulevard,7th Av,B,D,E,X,X,X,X,X,X,X,X,"B,D,E"
1248,IND,8 Avenue,59th St,A,B,C,D,1,X,X,X,X,X,X,"A,B,C,D,1"
1260,BMT,4 Avenue,DeKalb Av,B,Q,R,X,X,X,X,X,X,X,X,"B,Q,R"
1266,BMT,Sea Beach,Bay Parkway-22nd Av,N,X,X,X,X,X,X,X,X,X,X,N
1268,IRT,Broadway-7th Ave,59th St-Columbus Circle,A,B,C,D,1,X,X,X,X,X,X,"A,B,C,D,1"
1273,IRT,Flushing,5th Av,B,D,F,M,7,X,X,X,X,X,X,"B,D,F,M,7"
1276,IRT,Broadway-7th Ave,72nd St,1,2,3,X,X,X,X,X,X,X,X,"1,2,3"
1280,IRT,Lexington,33rd St,6,X,X,X,X,X,X,X,X,X,X,6
1289,IRT,Broadway-7th Ave,66th St-Lincoln Center,1,X,X,X,X,X,X,X,X,X,X,1
1295,BMT,4 Avenue,Union St,R,X,X,X,X,X,X,X,X,X,X,R
1299,BMT,West End,Bay 50th St,D,X,X,X,X,X,X,X,X,X,X,D
1303,IRT,Broadway-7th Ave,50th St,1,X,X,X,X,X,X,X,X,X,X,1
1309,BMT,Broadway,49th St,N,Q,R,X,X,X,X,X,X,X,X,"N,Q,R"
1316,IRT,Lexington,28th St,6,X,X,X,X,X,X,X,X,X,X,6
1323,IND,6 Avenue,42nd St,B,D,F,M,7,X,X,X,X,X,X,"B,D,F,M,7"
1332,IND,Fulton,Hoyt & Schermerhorn,A,C,G,X,X,X,X,X,X,X,X,"A,C,G"
1334,BMT,Sea Beach,20th Av,N,X,X,X,X,X,X,X,X,X,X,N
1335,IRT,Eastern Parkway,Hoyt St,2,3,X,X,X,X,X,X,X,X,X,"2,3"
1340,BMT,Broadway,Lawrence St,A,C,F,R,X,X,X,X,X,X,X,"A,C,F,R"
1347,IND,8 Avenue,50th St,C,E,X,X,X,X,X,X,X,X,X,"C,E"
1357,BMT,Canarsie,3rd Av,L,X,X,X,X,X,X,X,X,X,X,L
1361,IRT,42nd St Shuttle,Times Square,A,C,E,N,Q,R,GS,1.0,2.0,3.0,7.0,"A,C,E,N,Q,R,GS,1.0,2.0,3.0,7.0"
1362,IRT,Lexington,23rd St,6,X,X,X,X,X,X,X,X,X,X,6
1371,BMT,Broadway,Times Square-42nd St,A,C,E,N,Q,R,S,1.0,2.0,3.0,7.0,"A,C,E,N,Q,R,S,1.0,2.0,3.0,7.0"
1375,BMT,West End,25th Av,D,X,X,X,X,X,X,X,X,X,X,D
1379,IND,6 Avenue,York St,F,X,X,X,X,X,X,X,X,X,X,F
1380,IND,Fulton,Jay St - Borough Hall,A,C,F,R,X,X,X,X,X,X,X,"A,C,F,R"
1393,BMT,Nassau,Essex St,F,J,M,Z,X,X,X,X,X,X,X,"F,J,M,Z"
1395,IRT,Broadway-7th Ave,Times Square,A,C,E,N,Q,R,S,1.0,2.0,3.0,7.0,"A,C,E,N,Q,R,S,1.0,2.0,3.0,7.0"
1404,IND,6 Avenue,34th St,B,D,F,M,N,Q,R,X,X,X,X,"B,D,F,M,N,Q,R"
1414,BMT,Broadway,34th St,B,D,F,M,N,Q,R,X,X,X,X,"B,D,F,M,N,Q,R"
1418,IND,6 Avenue,Delancey St,F,J,M,Z,X,X,X,X,X,X,X,"F,J,M,Z"
1422,BMT,4 Avenue,9th St,F,G,R,X,X,X,X,X,X,X,X,"F,G,R"
1424,BMT,Broadway,28th St,N,R,X,X,X,X,X,X,X,X,X,"N,R"
1428,BMT,Broadway,23rd St,N,R,X,X,X,X,X,X,X,X,X,"N,R"
1436,IND,8 Avenue,42nd St,A,C,E,N,Q,R,S,1.0,2.0,3.0,7.0,"A,C,E,N,Q,R,S,1.0,2.0,3.0,7.0"
1445,IND,6 Avenue,4th Av,F,X,X,X,X,X,X,X,X,X,X,F
1447,IND,6 Avenue,2nd Av,F,X,X,X,X,X,X,X,X,X,X,F
1451,IRT,Lexington,14th St-Union Square,L,N,Q,R,4,5,6,X,X,X,X,"L,N,Q,R,4,5,6"
1457,IRT,Clark,Borough Hall,R,2,3,4,5,X,X,X,X,X,X,"R,2,3,4,5"
1461,IRT,Lexington,Borough Hall,R,2,3,4,5,X,X,X,X,X,X,"R,2,3,4,5"
1466,IND,6 Avenue,East Broadway,F,X,X,X,X,X,X,X,X,X,X,F
1470,BMT,Sea Beach,18th Av,N,X,X,X,X,X,X,X,X,X,X,N
1472,IND,8 Avenue,High St,A,C,J,Z,2,3,4,5.0,X,X,X,"A,C,J,Z,2,3,4,5.0"
1475,BMT,Broadway,Union Square,L,N,Q,R,4,5,6,X,X,X,X,"L,N,Q,R,4,5,6"
1479,BMT,Canarsie,Union Square,L,N,Q,R,4,5,6,X,X,X,X,"L,N,Q,R,4,5,6"
1481,IND,6 Avenue,Bergen St,F,G,X,X,X,X,X,X,X,X,X,"F,G"
1487,IRT,Broadway-7th Ave,34th St,1,2,3,X,X,X,X,X,X,X,X,"1,2,3"
1498,IRT,Lexington,Astor Place,6,X,X,X,X,X,X,X,X,X,X,6
1500,BMT,Broadway,Court St,R,2,3,4,5,X,X,X,X,X,X,"R,2,3,4,5"
1503,BMT,Broadway,8th St,N,R,X,X,X,X,X,X,X,X,X,"N,R"
1511,IND,6 Avenue,23rd St,F,M,X,X,X,X,X,X,X,X,X,"F,M"
1519,BMT,4 Avenue,Prospect Av,R,X,X,X,X,X,X,X,X,X,X,R
1522,IRT,Clark,Clark St,2,3,X,X,X,X,X,X,X,X,X,"2,3"
1524,IRT,Broadway-7th Ave,28th St,1,X,X,X,X,X,X,X,X,X,X,1
1530,IND,8 Avenue,34th St,A,C,E,X,X,X,X,X,X,X,X,"A,C,E"
1546,BMT,West End,Bay Parkway,D,X,X,X,X,X,X,X,X,X,X,D
1550,IND,6 Avenue,Grand St,B,D,X,X,X,X,X,X,X,X,X,"B,D"
1553,BMT,Nassau,Bowery,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
1555,BMT,West End,Fort Hamilton Parkway,D,X,X,X,X,X,X,X,X,X,X,D
1559,BMT,West End,9th Av,D,X,X,X,X,X,X,X,X,X,X,D
1560,IRT,Lexington,Bleecker St,B,D,F,M,6,X,X,X,X,X,X,"B,D,F,M,6"
1567,BMT,West End,50th St,D,X,X,X,X,X,X,X,X,X,X,D
1571,IND,6 Avenue,Carroll St,F,G,X,X,X,X,X,X,X,X,X,"F,G"
1576,BMT,West End,55th St,D,X,X,X,X,X,X,X,X,X,X,D
1579,IRT,Broadway-7th Ave,23rd St,1,X,X,X,X,X,X,X,X,X,X,1
1583,IND,6 Avenue,Smith-9th St,F,G,R,X,X,X,X,X,X,X,X,"F,G,R"
1584,IND,6 Avenue,Broadway-Lafayette St,B,D,F,M,6,X,X,X,X,X,X,"B,D,F,M,6"
1589,IND,6 Avenue,14th St,F,L,M,1,2,3,X,X,X,X,X,"F,L,M,1,2,3"
1599,BMT,Sea Beach,New Utrecht Av,D,N,X,X,X,X,X,X,X,X,X,"D,N"
1601,BMT,Canarsie,6th Av,F,L,M,1,2,3,X,X,X,X,X,"F,L,M,1,2,3"
1603,BMT,West End,62nd St,D,N,X,X,X,X,X,X,X,X,X,"D,N"
1606,IRT,Lexington,Spring St,6,X,X,X,X,X,X,X,X,X,X,6
1610,BMT,Broadway,Prince St,N,R,X,X,X,X,X,X,X,X,X,"N,R"
1614,IRT,Broadway-7th Ave,18th St,1,X,X,X,X,X,X,X,X,X,X,1
1620,IND,8 Avenue,23rd St,C,E,X,X,X,X,X,X,X,X,X,"C,E"
1631,BMT,4 Avenue,25th St,R,X,X,X,X,X,X,X,X,X,X,R
1633,BMT,West End,20th Av,D,X,X,X,X,X,X,X,X,X,X,D
1637,BMT,West End,71st St,D,X,X,X,X,X,X,X,X,X,X,D
1643,BMT,Nassau,Canal St,J,N,Q,R,Z,6,X,X,X,X,X,"J,N,Q,R,Z,6"
1644,IRT,Lexington,Canal St,J,N,Q,R,Z,6,X,X,X,X,X,"J,N,Q,R,Z,6"
1651,IRT,Broadway-7th Ave,14th St,F,L,M,1,2,3,X,X,X,X,X,"F,L,M,1,2,3"
1659,IND,8 Avenue,West 4th St,A,B,C,D,E,F,M,X,X,X,X,"A,B,C,D,E,F,M"
1665,BMT,West End,79th St,D,X,X,X,X,X,X,X,X,X,X,D
1669,IND,8 Avenue,14th St,A,C,E,L,X,X,X,X,X,X,X,"A,C,E,L"
1677,BMT,West End,18th Av,D,X,X,X,X,X,X,X,X,X,X,D
1680,BMT,Broadway,Canal St (UL),J,N,Q,R,Z,6,X,X,X,X,X,"J,N,Q,R,Z,6"
1687,IRT,Flushing,34 St Hudson Yards,7,X,X,X,X,X,X,X,X,X,X,7
1689,BMT,Canarsie,8th Av,A,C,E,L,X,X,X,X,X,X,X,"A,C,E,L"
1691,IRT,Broadway-7th Ave,Christopher St,1,X,X,X,X,X,X,X,X,X,X,1
1696,BMT,Nassau,Chambers St,J,Z,4,5,6,X,X,X,X,X,X,"J,Z,4,5,6"
1698,BMT,4 Avenue,36th St,N,R,X,X,X,X,X,X,X,X,X,"N,R"
1701,IRT,Lexington,Brooklyn Bridge-City Hall,J,Z,4,5,6,X,X,X,X,X,X,"J,Z,4,5,6"
1702,IND,8 Avenue,Spring St,C,E,X,X,X,X,X,X,X,X,X,"C,E"
1713,IND,8 Avenue,Canal St,A,C,E,X,X,X,X,X,X,X,X,"A,C,E"
1718,BMT,Sea Beach,Fort Hamilton Parkway,N,X,X,X,X,X,X,X,X,X,X,N
1720,IRT,Broadway-7th Ave,Houston St,1,X,X,X,X,X,X,X,X,X,X,1
1728,IRT,Broadway-7th Ave,Canal St,1,X,X,X,X,X,X,X,X,X,X,1
1732,IRT,Clark,Fulton St,A,C,J,Z,2,3,4,5.0,X,X,X,"A,C,J,Z,2,3,4,5.0"
1736,IRT,Broadway-7th Ave,Franklin St,1,X,X,X,X,X,X,X,X,X,X,1
1741,BMT,Broadway,City Hall,R,X,X,X,X,X,X,X,X,X,X,R
1744,BMT,Nassau,Fulton St,A,C,J,Z,2,3,4,5.0,X,X,X,"A,C,J,Z,2,3,4,5.0"
1750,IND,8 Avenue,Broadway-Nassau,A,C,J,Z,2,3,4,5.0,X,X,X,"A,C,J,Z,2,3,4,5.0"
1752,IND,8 Avenue,Chambers St,A,C,E,2,3,X,X,X,X,X,X,"A,C,E,2,3"
1761,IRT,Clark,Park Place,A,C,E,1,2,3,X,X,X,X,X,"A,C,E,1,2,3"
1762,IRT,Clark,Wall St,2,3,X,X,X,X,X,X,X,X,X,"2,3"
1768,IRT,Broadway-7th Ave,Chambers St,1,2,3,X,X,X,X,X,X,X,X,"1,2,3"
1773,IRT,Lexington,Fulton St,A,C,J,Z,2,3,4,5.0,X,X,X,"A,C,J,Z,2,3,4,5.0"
1778,IND,8 Avenue,World Trade Center,A,C,E,2,3,X,X,X,X,X,X,"A,C,E,2,3"
1786,BMT,4 Avenue,45th St,R,X,X,X,X,X,X,X,X,X,X,R
1790,BMT,Broadway,Cortlandt St,R,X,X,X,X,X,X,X,X,X,X,R
1794,BMT,Nassau,Broad St,J,Z,X,X,X,X,X,X,X,X,X,"J,Z"
1803,BMT,Sea Beach,8th Av,N,X,X,X,X,X,X,X,X,X,X,N
1804,IRT,Lexington,Wall St,4,5,X,X,X,X,X,X,X,X,X,"4,5"
1812,BMT,Broadway,Whitehall St,R,1,X,X,X,X,X,X,X,X,X,"R,1"
1818,BMT,Broadway,Rector St,R,X,X,X,X,X,X,X,X,X,X,R
1827,IRT,Broadway-7th Ave,South Ferry,R,1,X,X,X,X,X,X,X,X,X,"R,1"
1832,IRT,Broadway-7th Ave,Rector St,1,X,X,X,X,X,X,X,X,X,X,1
1838,BMT,4 Avenue,53rd St,R,X,X,X,X,X,X,X,X,X,X,R
1843,IRT,Lexington,Bowling Green,4,5,X,X,X,X,X,X,X,X,X,"4,5"
1848,BMT,4 Avenue,59th St,N,R,X,X,X,X,X,X,X,X,X,"N,R"
1854,BMT,4 Avenue,Bay Ridge Av,R,X,X,X,X,X,X,X,X,X,X,R
1857,BMT,4 Avenue,77th St,R,X,X,X,X,X,X,X,X,X,X,R
1860,BMT,4 Avenue,86th St,R,X,X,X,X,X,X,X,X,X,X,R
1863,BMT,4 Avenue,95th St,R,X,X,X,X,X,X,X,X,X,X,R
